Date;Speed;Density;Bt;Bz
20100901000000;340.0;0.5;4.2;1.4
20100901000100;338.4;0.4;4.2;1.3
20100901000200;339.9;0.4;4.1;0.8
20100901000300;338.3;0.5;4.1;0.9
20100901000400;336.7;0.3;4.1;1.2
20100901000500;354.4;0.2;4.1;0.9
20100901000600;339.2;0.3;4.1;0.8
20100901000700;322.6;0.3;4.1;0.2
20100901000800;337.0;0.5;4.1;0.7
20100901000900;;;4.3;1.4
20100901001000;330.6;0.5;4.2;1.2
20100901001100;335.0;0.6;4.3;1.3
20100901001200;337.6;0.5;4.3;0.3
20100901001300;343.2;0.4;4.4;-0.6
20100901001400;343.2;0.4;4.4;-0.7
20100901001500;338.1;0.5;4.3;-0.9
20100901001600;328.5;0.7;4.2;-0.7
20100901001700;331.4;0.5;4.3;-0.7
20100901001800;340.2;0.4;4.4;-0.9
20100901001900;336.0;0.5;4.3;-0.8
20100901002000;332.3;0.4;4.2;-1.0
20100901002100;327.0;0.9;4.3;-1.0
20100901002200;334.0;0.5;4.2;-1.1
20100901002300;331.4;0.7;4.4;-1.0
20100901002400;328.5;0.7;4.4;-1.1
20100901002500;342.3;0.4;4.4;-1.0
20100901002600;317.5;0.1;4.4;-0.4
20100901002700;335.5;0.9;4.3;-1.4
20100901002800;333.6;0.8;4.2;-1.5
20100901002900;334.3;1.2;4.1;-2.2
20100901003000;334.3;1.2;3.9;-2.7
20100901003100;332.7;1.0;4.1;-3.2
20100901003200;334.5;1.6;4.5;-2.1
20100901003300;331.0;0.9;4.4;-0.7
20100901003400;333.0;0.5;4.8;0.7
20100901003500;;;4.9;0.8
20100901003600;316.9;0.1;5.0;0.8
20100901003700;312.2;0.2;4.9;0.7
20100901003800;336.4;0.1;4.8;0.5
20100901003900;;;5.1;0.4
20100901004000;319.1;0.3;5.1;0.9
20100901004100;;;5.1;1.3
20100901004200;;;5.2;1.2
20100901004300;322.4;0.2;5.2;1.1
20100901004400;;;5.4;1.3
20100901004500;322.2;0.3;5.4;1.4
20100901004600;322.2;0.3;5.5;1.4
20100901004700;321.5;0.3;5.3;1.5
20100901004800;325.6;0.3;5.3;1.7
20100901004900;331.5;0.3;5.2;2.0
20100901005000;328.1;0.2;5.4;2.1
20100901005100;338.2;0.2;5.3;2.2
20100901005200;335.2;0.1;5.5;0.8
20100901005300;338.4;0.2;5.5;1.0
20100901005400;341.4;0.2;5.5;1.3
20100901005500;368.2;0.1;5.4;1.7
20100901005600;344.4;0.2;5.5;0.9
20100901005700;344.8;0.1;5.6;0.4
20100901005800;336.8;0.2;5.6;0.6
20100901005900;332.8;0.3;5.7;0.1
20100901010000;322.8;0.3;5.7;0.1
20100901010100;337.4;0.2;5.7;0.3
20100901010200;337.4;0.2;5.6;0.1
20100901010300;;;5.6;0.1
20100901010400;364.8;0.1;5.4;0.1
20100901010500;341.1;0.3;5.4;0.2
20100901010600;343.5;0.3;5.3;0.3
20100901010700;343.4;0.3;5.3;0.3
20100901010800;338.8;0.3;5.3;0.3
20100901010900;336.1;0.4;5.3;0.3
20100901011000;341.4;0.3;5.3;0.3
20100901011100;;;5.3;0.3
20100901011200;344.6;0.3;5.4;0.3
20100901011300;333.9;0.3;5.4;0.3
20100901011400;346.2;0.2;5.4;0.2
20100901011500;;;5.4;0.3
20100901011600;324.9;0.2;5.5;0.2
20100901011700;334.2;0.1;5.6;-0.4
20100901011800;334.2;0.1;5.6;-0.8
20100901011900;331.1;0.3;5.6;-0.3
20100901012000;320.9;0.2;5.6;-0.7
20100901012100;320.3;0.6;5.6;-1.0
20100901012200;329.3;0.1;5.7;-1.1
20100901012300;332.6;0.3;5.6;-1.3
20100901012400;328.5;0.2;5.7;-1.6
20100901012500;330.3;0.3;5.8;-1.8
20100901012600;334.0;0.2;5.6;-1.8
20100901012700;331.5;0.4;5.2;0.6
20100901012800;339.9;0.5;5.2;1.1
20100901012900;336.0;0.4;5.1;1.4
20100901013000;338.6;0.3;5.1;1.6
20100901013100;340.5;0.3;4.8;1.4
20100901013200;337.0;0.5;4.8;1.5
20100901013300;317.6;0.3;5.0;2.1
20100901013400;317.6;0.3;4.8;2.3
20100901013500;340.0;0.5;4.9;0.5
20100901013600;339.5;0.5;4.9;0.7
20100901013700;335.4;0.6;5.0;0.8
20100901013800;341.9;0.4;4.8;1.4
20100901013900;338.0;0.4;4.7;1.3
20100901014000;338.1;0.7;4.5;1.8
20100901014100;339.4;0.6;4.5;0.9
20100901014200;349.4;0.4;4.4;-1.1
20100901014300;349.1;0.5;4.4;-0.5
20100901014400;335.3;0.5;5.1;-1.9
20100901014500;346.8;0.4;5.1;-1.8
20100901014600;347.6;0.2;5.1;-1.3
20100901014700;352.2;0.3;5.3;-0.5
20100901014800;;;5.3;-0.5
20100901014900;350.2;0.1;5.3;0.4
20100901015000;350.2;0.1;5.4;1.1
20100901015100;333.8;0.1;5.7;0.6
20100901015200;347.1;0.1;5.7;0.4
20100901015300;336.0;0.1;5.5;0.4
20100901015400;339.1;0.2;5.4;0.0
20100901015500;365.8;0.1;5.4;0.7
20100901015600;349.4;0.2;5.2;1.9
20100901015700;349.7;0.2;5.4;2.2
20100901015800;;;5.2;1.2
20100901015900;352.2;0.2;5.5;0.3
20100901020000;339.9;0.3;5.5;1.4
20100901020100;340.0;0.3;5.5;2.3
20100901020200;334.9;0.4;5.5;1.9
20100901020300;354.0;0.2;5.6;0.7
20100901020400;;;5.7;0.6
20100901020500;370.3;0.0;5.7;0.3
20100901020600;370.3;0.0;5.7;-0.0
20100901020700;352.0;0.1;5.7;-0.1
20100901020800;332.1;0.3;5.6;-0.4
20100901020900;340.2;0.2;5.5;-0.3
20100901021000;346.9;0.1;5.6;-0.6
20100901021100;326.4;0.3;5.7;-1.1
20100901021200;343.3;0.3;5.6;-1.8
20100901021300;337.6;0.7;5.6;-1.2
20100901021400;350.5;0.3;5.6;-0.2
20100901021500;;;5.3;0.3
20100901021600;341.4;0.3;5.6;-1.6
20100901021700;333.1;0.9;5.5;-1.8
20100901021800;331.4;0.7;5.5;-2.2
20100901021900;341.7;1.4;5.5;-2.6
20100901022000;338.9;0.9;5.5;-1.5
20100901022100;;;5.6;0.0
20100901022200;;;5.7;0.7
20100901022300;337.5;0.3;5.7;0.9
20100901022400;328.2;0.1;5.7;0.9
20100901022500;;;5.7;1.1
20100901022600;335.8;0.2;5.6;1.1
20100901022700;337.7;0.2;5.5;1.1
20100901022800;332.0;0.3;5.4;1.8
20100901022900;335.1;0.2;5.5;2.2
20100901023000;340.6;0.2;5.2;1.1
20100901023100;334.5;0.4;5.0;-0.4
20100901023200;334.5;0.2;5.1;-2.4
20100901023300;334.6;0.4;5.1;-0.7
20100901023400;343.9;0.4;5.3;0.9
20100901023500;338.4;0.4;5.5;1.5
20100901023600;353.0;0.2;5.5;1.3
20100901023700;355.1;0.2;5.6;1.3
20100901023800;355.1;0.2;5.6;1.4
20100901023900;343.1;0.3;5.2;1.2
20100901024000;343.2;0.6;5.2;-0.0
20100901024100;350.4;0.3;5.3;-0.2
20100901024200;351.9;0.4;5.0;0.1
20100901024300;323.5;0.2;5.5;1.2
20100901024400;338.0;0.4;5.8;1.1
20100901024500;346.7;0.1;5.8;1.1
20100901024600;333.9;0.2;5.8;0.9
20100901024700;350.1;0.2;5.8;0.6
20100901024800;344.4;0.2;5.9;0.6
20100901024900;352.6;0.2;5.8;0.5
20100901025000;336.8;0.3;5.9;0.4
20100901025100;340.1;0.2;5.9;0.4
20100901025200;352.7;0.1;6.0;0.3
20100901025300;345.4;0.6;6.0;1.5
20100901025400;345.4;0.6;6.1;2.3
20100901025500;;;6.2;1.8
20100901025600;341.2;0.4;6.2;2.4
20100901025700;340.2;0.3;6.3;3.0
20100901025800;336.8;0.3;6.3;2.8
20100901025900;350.2;0.2;6.3;2.9
20100901030000;361.0;0.1;6.4;2.8
20100901030100;364.1;0.1;6.3;3.0
20100901030200;352.8;0.3;6.4;2.6
20100901030300;354.4;0.2;6.5;3.2
20100901030400;342.4;0.3;6.4;3.3
20100901030500;366.4;0.2;6.4;2.3
20100901030600;353.3;0.2;6.3;2.5
20100901030700;349.7;0.3;6.3;1.8
20100901030800;360.4;0.2;6.3;2.0
20100901030900;353.6;0.2;6.2;2.9
20100901031000;353.6;0.2;6.1;1.7
20100901031100;357.9;0.5;6.1;2.9
20100901031200;368.1;0.2;5.9;1.2
20100901031300;356.5;0.6;6.1;2.9
20100901031400;350.1;0.3;6.2;3.1
20100901031500;344.2;0.3;6.4;3.2
20100901031600;356.1;0.2;6.6;3.2
20100901031700;352.5;0.2;6.7;3.1
20100901031800;350.9;0.3;6.7;2.9
20100901031900;351.9;0.2;6.7;3.3
20100901032000;358.2;0.2;6.7;2.6
20100901032100;353.8;0.2;6.8;2.4
20100901032200;356.7;0.2;6.5;3.9
20100901032300;339.1;0.3;6.8;4.4
20100901032400;358.6;0.1;6.8;3.9
20100901032500;341.2;0.4;6.8;3.6
20100901032600;341.2;0.4;6.8;3.5
20100901032700;352.3;0.2;6.8;3.1
20100901032800;;;6.9;3.7
20100901032900;367.1;0.1;6.9;3.8
20100901033000;;;6.6;1.9
20100901033100;338.7;0.4;6.8;0.6
20100901033200;352.1;0.3;6.9;0.8
20100901033300;356.5;0.2;6.9;1.0
20100901033400;349.9;0.3;6.9;0.0
20100901033500;346.1;0.4;6.9;-1.7
20100901033600;354.7;0.5;6.6;-1.0
20100901033700;351.2;0.2;7.1;2.1
20100901033800;335.1;0.2;7.1;2.4
20100901033900;351.0;0.1;7.1;2.6
20100901034000;344.3;0.2;7.1;1.4
20100901034100;366.2;0.1;7.2;1.2
20100901034200;366.2;0.1;7.2;0.9
20100901034300;357.2;0.1;7.2;1.0
20100901034400;349.3;0.2;7.3;0.9
20100901034500;355.2;0.3;7.2;1.1
20100901034600;354.8;0.3;7.3;1.5
20100901034700;351.3;0.4;7.4;1.4
20100901034800;342.4;0.5;7.4;1.1
20100901034900;351.0;0.5;7.5;0.5
20100901035000;349.2;0.3;7.5;0.0
20100901035100;347.7;0.4;7.5;0.2
20100901035200;345.0;0.3;7.4;0.5
20100901035300;347.0;0.3;7.5;0.4
20100901035400;348.7;0.3;7.5;0.2
20100901035500;355.5;0.1;7.6;-1.0
20100901035600;338.0;0.3;7.6;-0.8
20100901035700;346.7;0.2;7.5;-0.8
