Date;Speed;Density;Bt;Bz
20070401000000;405.9;19.8;9.8;-3.3
20070401000100;403.7;17.9;9.6;-2.6
20070401000200;404.4;19.5;9.6;-1.6
20070401000300;404.2;17.3;10.4;1.3
20070401000400;408.8;10.9;11.1;2.9
20070401000500;410.6;10.8;10.9;3.1
20070401000600;415.3;11.7;10.8;1.5
20070401000700;399.1;12.6;11.0;-0.9
20070401000800;403.3;13.7;10.6;-1.7
20070401000900;404.3;15.8;10.7;-2.8
20070401001000;408.2;12.8;10.4;-4.0
20070401001100;407.8;12.4;10.4;-3.8
20070401001200;406.8;13.1;10.3;-4.4
20070401001300;;;10.6;-3.3
20070401001400;;;11.3;-5.1
20070401001500;405.8;12.9;11.2;-5.4
20070401001600;408.5;10.6;11.2;-5.8
20070401001700;405.7;11.2;10.8;-6.4
20070401001800;408.5;15.9;10.8;-7.3
20070401001900;405.9;17.4;10.6;-7.6
20070401002000;405.2;18.2;10.7;-8.0
20070401002100;407.0;19.2;11.2;-9.9
20070401002200;;;10.7;-10.1
20070401002300;410.4;26.5;9.2;-9.0
20070401002400;416.0;27.9;9.5;-9.0
20070401002500;414.7;28.8;9.5;-8.6
20070401002600;413.3;25.3;9.4;-8.7
20070401002700;411.1;22.7;9.9;-9.0
20070401002800;411.2;20.1;9.8;-8.8
20070401002900;;;10.1;-9.1
20070401003000;;;9.9;-8.6
20070401003100;407.0;19.7;11.1;-8.9
20070401003200;414.6;18.0;11.0;-8.9
20070401003300;;;10.9;-7.5
20070401003400;417.6;13.5;12.0;-7.3
20070401003500;;;12.5;-5.0
20070401003600;415.8;12.6;11.9;-11.2
20070401003700;424.6;7.7;12.4;-12.1
20070401003800;424.1;6.1;12.2;-11.8
20070401003900;419.4;4.6;11.3;-10.3
20070401004000;426.4;6.4;10.9;-9.8
20070401004100;430.4;6.9;9.6;-9.2
20070401004200;433.1;7.5;8.8;-8.4
20070401004300;436.0;6.0;9.0;-8.9
20070401004400;428.9;5.3;8.4;-6.9
20070401004500;428.7;6.0;8.8;-7.3
20070401004600;428.7;6.0;9.7;-7.9
20070401004700;435.5;5.4;9.9;-4.8
20070401004800;431.2;5.6;9.4;-2.8
20070401004900;432.1;5.5;9.7;-5.3
20070401005000;431.3;6.4;10.8;-6.8
20070401005100;433.4;6.2;10.0;-7.4
20070401005200;433.5;6.6;11.8;-9.9
20070401005300;432.2;4.0;12.6;-11.1
20070401005400;433.1;4.3;9.6;-8.5
20070401005500;436.1;4.8;9.6;-7.7
20070401005600;432.9;3.9;13.0;-11.6
20070401005700;434.0;4.2;12.7;-11.7
20070401005800;430.8;4.5;13.2;-12.3
20070401005900;429.8;4.4;14.1;-13.1
20070401010000;428.7;4.6;14.0;-13.2
20070401010100;424.2;3.9;14.2;-13.4
20070401010200;424.2;3.9;13.9;-13.2
20070401010300;;;14.0;-13.4
20070401010400;428.2;5.3;14.1;-13.5
20070401010500;428.0;5.0;13.7;-13.3
20070401010600;430.3;5.6;12.5;-12.1
20070401010700;434.0;6.0;11.7;-11.4
20070401010800;425.7;6.9;13.1;-12.6
20070401010900;426.4;6.3;13.3;-12.6
20070401011000;424.3;5.8;13.3;-12.7
20070401011100;424.0;6.2;13.3;-12.5
20070401011200;426.5;6.4;12.8;-12.3
20070401011300;424.3;6.5;12.9;-11.9
20070401011400;423.5;6.2;12.8;-11.5
20070401011500;421.6;5.2;13.7;-12.8
20070401011600;425.5;5.8;13.5;-12.8
20070401011700;425.9;5.0;13.5;-8.9
20070401011800;425.9;5.0;12.8;-8.5
20070401011900;429.0;6.5;12.3;-8.1
20070401012000;431.2;5.7;12.4;-8.1
20070401012100;431.7;6.1;11.6;-7.7
20070401012200;436.2;6.7;11.3;-7.9
20070401012300;426.7;5.6;11.5;-8.7
20070401012400;425.6;5.7;11.7;-8.5
20070401012500;425.2;5.8;11.2;-8.1
20070401012600;427.9;6.1;11.3;-7.7
20070401012700;427.9;6.0;11.0;-7.7
20070401012800;428.1;6.1;10.8;-7.1
20070401012900;430.9;5.9;10.4;-6.9
20070401013000;423.7;6.0;10.2;-6.5
20070401013100;417.4;6.8;9.7;-7.7
20070401013200;425.8;6.8;9.4;-7.5
20070401013300;422.4;7.0;6.8;-5.9
20070401013400;422.4;7.0;5.9;-3.2
20070401013500;421.7;8.2;3.7;-0.6
20070401013600;;;6.6;1.6
20070401013700;429.3;8.0;6.8;-0.5
20070401013800;423.0;8.1;7.8;1.5
20070401013900;429.9;7.2;7.3;2.1
20070401014000;426.3;8.0;7.5;1.9
20070401014100;429.2;8.2;7.9;2.1
20070401014200;428.4;8.2;7.7;2.7
20070401014300;426.9;7.6;6.1;2.5
20070401014400;428.0;7.9;3.6;2.3
20070401014500;436.7;8.3;2.8;2.7
20070401014600;431.9;8.1;4.2;2.7
20070401014700;434.7;7.4;4.5;1.5
20070401014800;429.9;7.6;6.5;2.6
20070401014900;434.7;7.2;6.3;1.3
20070401015000;434.7;7.2;6.6;0.9
20070401015100;432.5;7.1;7.5;1.5
20070401015200;435.8;7.1;6.8;1.4
20070401015300;426.2;7.6;6.9;1.7
20070401015400;425.9;7.4;6.9;1.5
20070401015500;421.9;7.8;6.5;0.7
20070401015600;427.8;7.2;5.1;1.2
20070401015700;431.4;7.4;4.1;3.1
20070401015800;429.2;6.4;4.6;3.2
20070401015900;423.2;6.9;4.4;3.5
20070401020000;421.3;7.0;4.1;3.5
20070401020100;421.1;6.9;6.1;2.0
20070401020200;426.2;7.0;7.0;3.6
20070401020300;423.2;7.0;7.0;2.7
20070401020400;428.7;6.3;6.5;1.2
20070401020500;426.6;7.5;5.9;1.9
20070401020600;426.6;7.5;3.7;3.5
20070401020700;425.5;6.1;5.7;3.8
20070401020800;426.6;6.9;5.2;3.5
20070401020900;;;3.9;3.7
20070401021000;420.3;6.9;7.3;7.0
20070401021100;423.4;6.8;8.2;7.3
20070401021200;421.7;7.3;7.8;6.1
20070401021300;422.4;6.7;7.4;4.7
20070401021400;418.6;6.7;8.0;3.1
20070401021500;423.3;7.2;8.3;4.5
20070401021600;420.4;7.7;8.4;5.7
20070401021700;420.6;6.6;8.5;6.0
20070401021800;427.6;7.6;7.8;2.2
20070401021900;436.9;6.7;7.6;2.6
20070401022000;434.1;6.5;8.0;4.5
20070401022100;427.7;6.6;8.3;5.9
20070401022200;427.7;6.6;8.4;7.0
20070401022300;428.1;7.0;8.1;6.9
20070401022400;432.1;6.6;8.3;6.5
20070401022500;420.9;6.3;8.4;7.0
20070401022600;422.5;6.6;8.4;6.9
20070401022700;422.3;6.9;8.0;6.7
20070401022800;417.3;6.1;8.0;6.6
20070401022900;417.1;6.4;6.8;6.0
20070401023000;434.0;8.2;7.4;0.0
20070401023100;435.4;7.3;6.2;3.1
20070401023200;435.8;7.0;5.7;3.5
20070401023300;438.5;6.9;3.9;3.5
20070401023400;437.3;6.9;4.8;2.3
20070401023500;432.5;6.7;3.9;0.9
20070401023600;442.1;5.4;4.7;-0.9
20070401023700;435.3;6.9;5.4;2.6
20070401023800;435.3;6.9;5.8;3.9
20070401023900;437.7;6.1;4.2;2.3
20070401024000;440.5;6.6;3.7;2.4
20070401024100;441.0;6.9;4.0;0.5
20070401024200;;;4.5;2.3
20070401024300;437.3;6.9;4.1;0.5
20070401024400;430.6;5.2;2.5;-0.1
20070401024500;434.4;4.1;2.7;1.3
20070401024600;444.0;4.9;5.3;4.5
20070401024700;431.5;7.2;6.5;5.6
20070401024800;430.1;7.2;5.7;5.0
20070401024900;428.7;7.0;5.7;5.3
20070401025000;430.4;6.9;6.2;5.5
20070401025100;442.8;5.9;6.1;3.5
20070401025200;440.4;5.1;6.3;1.6
20070401025300;438.8;5.3;6.3;0.5
20070401025400;438.8;5.3;5.8;-0.4
20070401025500;441.5;5.1;5.9;-1.0
20070401025600;435.7;5.3;6.2;-1.4
20070401025700;438.3;5.1;6.4;-2.7
20070401025800;435.8;5.5;6.7;-3.4
20070401025900;440.3;4.8;6.4;-3.8
20070401030000;447.9;5.2;6.1;-3.8
20070401030100;455.5;4.8;5.2;-2.6
20070401030200;455.5;4.6;4.8;-0.5
20070401030300;462.1;4.7;4.7;0.5
20070401030400;455.2;4.5;5.5;-1.0
20070401030500;463.4;5.0;5.4;-1.8
20070401030600;461.7;4.6;5.3;-2.0
20070401030700;468.0;4.5;5.5;-2.3
20070401030800;464.8;4.8;5.7;-2.7
20070401030900;463.4;5.3;5.5;-2.5
20070401031000;463.4;5.3;5.5;-2.9
20070401031100;461.8;5.1;4.9;-2.9
20070401031200;466.5;5.7;7.0;-3.9
20070401031300;464.2;7.7;7.4;-4.1
20070401031400;463.0;6.0;7.1;-3.9
20070401031500;;;7.1;-3.9
20070401031600;466.3;6.3;7.1;-3.8
20070401031700;464.8;5.7;7.3;-3.8
20070401031800;465.6;5.8;7.1;-4.6
20070401031900;467.6;6.7;7.3;-5.2
20070401032000;468.1;6.2;6.7;-5.0
20070401032100;468.9;5.9;6.2;-4.7
20070401032200;472.0;5.7;5.9;-4.1
20070401032300;463.2;7.5;6.0;-3.9
20070401032400;472.3;5.5;5.6;-2.9
20070401032500;471.8;4.5;6.6;-1.3
20070401032600;471.8;4.5;7.2;-1.4
20070401032700;478.3;4.6;6.7;-2.0
20070401032800;477.5;4.4;6.7;-2.7
20070401032900;481.5;4.6;6.7;-2.0
20070401033000;479.1;4.4;7.6;-0.7
20070401033100;483.4;4.5;8.1;1.2
20070401033200;487.1;4.1;8.3;2.2
20070401033300;486.9;4.5;8.5;2.4
20070401033400;493.6;5.0;5.7;-1.4
20070401033500;472.8;6.2;7.8;-4.8
20070401033600;471.3;5.8;7.8;-5.0
20070401033700;471.1;5.9;7.9;-5.2
20070401033800;468.3;5.9;8.0;-5.6
20070401033900;469.9;6.1;7.9;-5.5
20070401034000;468.3;5.7;7.7;-5.6
20070401034100;463.9;5.1;8.1;-6.0
20070401034200;463.9;5.1;8.5;-6.3
20070401034300;460.1;5.3;8.4;-5.7
20070401034400;457.9;4.7;8.6;-6.1
20070401034500;469.8;7.5;8.7;-6.2
20070401034600;473.9;7.1;8.4;-6.7
20070401034700;464.4;6.8;8.5;-5.7
20070401034800;;;8.3;-6.4
20070401034900;474.8;7.7;8.3;-6.0
20070401035000;466.4;7.5;8.0;-6.0
20070401035100;466.2;7.5;8.0;-6.0
20070401035200;475.4;8.1;8.3;-6.1
20070401035300;474.0;7.8;8.1;-6.0
20070401035400;472.6;7.5;8.3;-6.8
20070401035500;484.4;7.2;8.7;-7.1
20070401035600;491.2;9.2;8.0;-7.3
20070401035700;487.8;8.0;7.9;-6.9
20070401035800;487.8;8.0;7.7;-0.9
20070401035900;466.2;4.6;8.4;-1.3
20070401040000;480.2;5.1;8.3;-1.9
20070401040100;467.6;4.3;8.3;-3.4
20070401040200;470.9;5.1;8.5;-3.7
20070401040300;478.7;5.9;8.7;-2.8
20070401040400;474.3;5.3;8.5;-2.3
20070401040500;467.2;6.5;8.7;-5.2
20070401040600;468.4;7.1;8.9;-6.0
