Date;Speed;Density;Bt;Bz
20071201000000;358.7;2.6;5.1;3.7
20071201000100;356.0;3.0;5.2;3.7
20071201000200;357.8;1.7;5.2;3.7
20071201000300;354.7;2.3;5.3;3.1
20071201000400;352.6;2.2;5.4;2.8
20071201000500;352.3;2.1;5.3;2.9
20071201000600;351.4;1.4;5.4;3.0
20071201000700;351.4;1.4;5.4;3.4
20071201000800;355.3;2.6;5.4;2.8
20071201000900;352.6;2.4;5.4;1.4
20071201001000;352.5;1.9;5.4;1.3
20071201001100;;;5.3;1.1
20071201001200;360.0;1.1;5.1;1.1
20071201001300;357.0;1.4;5.2;1.6
20071201001400;354.4;1.8;5.1;1.8
20071201001500;346.0;1.5;5.2;0.8
20071201001600;335.1;0.7;5.1;0.2
20071201001700;352.0;0.8;4.7;-0.1
20071201001800;353.0;1.8;4.8;0.3
20071201001900;353.6;2.2;5.0;-0.2
20071201002000;352.9;1.9;5.2;-0.2
20071201002100;345.2;2.3;5.2;-0.7
20071201002200;348.7;2.6;5.0;-1.0
20071201002300;348.7;2.6;4.5;-1.5
20071201002400;347.6;2.6;4.7;-0.8
20071201002500;352.6;2.3;3.6;0.0
20071201002600;357.6;2.8;3.4;1.5
20071201002700;361.6;2.3;3.7;1.3
20071201002800;353.1;2.5;4.8;-1.4
20071201002900;363.2;1.5;5.1;-1.9
20071201003000;353.1;1.8;5.2;-2.1
20071201003100;360.3;1.5;4.4;0.5
20071201003200;362.9;2.0;4.0;0.8
20071201003300;358.3;2.5;3.7;0.9
20071201003400;354.6;2.9;3.6;1.2
20071201003500;360.9;2.9;3.8;1.7
20071201003600;358.8;2.1;4.0;1.0
20071201003700;360.6;2.2;4.3;1.6
20071201003800;356.7;1.9;4.6;1.4
20071201003900;356.7;1.9;4.5;1.3
20071201004000;352.7;2.2;4.6;1.4
20071201004100;357.2;1.6;4.6;1.2
20071201004200;357.2;1.9;4.7;1.2
20071201004300;356.9;2.2;5.2;0.6
20071201004400;;;5.1;0.4
20071201004500;352.1;1.8;5.0;0.6
20071201004600;356.6;1.6;5.1;0.6
20071201004700;348.3;1.8;5.1;0.4
20071201004800;355.3;1.9;5.1;0.5
20071201004900;352.5;1.7;5.1;1.0
20071201005000;354.1;2.4;5.3;1.1
20071201005100;352.2;1.9;5.3;0.6
20071201005200;353.4;2.0;5.2;0.3
20071201005300;352.9;1.3;5.3;0.1
20071201005400;357.3;1.6;5.1;-0.4
20071201005500;357.3;1.6;5.2;-0.8
20071201005600;348.4;1.7;5.6;0.3
20071201005700;351.6;1.7;5.9;1.2
20071201005800;343.4;2.2;5.8;1.2
20071201005900;353.8;2.2;6.0;1.3
20071201010000;350.6;1.1;5.9;1.3
20071201010100;345.1;1.9;6.0;0.8
20071201010200;338.6;1.7;5.9;1.0
20071201010300;340.3;1.9;5.8;0.6
20071201010400;334.5;2.4;5.8;0.4
20071201010500;337.0;2.2;5.7;0.7
20071201010600;336.8;2.5;5.7;0.7
20071201010700;336.6;2.4;5.6;0.7
20071201010800;340.4;2.2;5.6;0.7
20071201010900;350.5;1.4;5.6;0.2
20071201011000;347.7;1.1;5.6;-0.4
20071201011100;347.7;1.1;5.6;-0.2
20071201011200;341.5;1.6;5.6;-0.3
20071201011300;340.8;1.8;5.6;-0.3
20071201011400;346.1;1.0;5.6;-0.3
20071201011500;333.1;2.3;5.5;-0.5
20071201011600;347.2;1.2;5.7;-0.2
20071201011700;;;5.7;-0.8
20071201011800;335.3;1.3;5.7;-1.1
20071201011900;338.6;1.1;5.6;-1.9
20071201012000;340.1;1.1;5.7;-2.7
20071201012100;350.4;1.1;5.9;-1.6
20071201012200;351.5;1.1;6.0;-0.4
20071201012300;341.6;1.8;5.8;0.1
20071201012400;346.7;1.6;5.7;-0.2
20071201012500;337.5;1.9;5.7;-0.3
20071201012600;335.9;2.2;5.8;-0.4
20071201012700;335.9;2.2;5.8;-0.3
20071201012800;334.1;2.4;5.9;-0.4
20071201012900;337.1;2.2;5.8;-0.4
20071201013000;334.6;2.3;5.8;-0.4
20071201013100;332.5;2.4;5.8;-0.6
20071201013200;334.7;1.5;5.9;-0.9
20071201013300;336.3;1.7;5.8;-1.1
20071201013400;336.8;1.9;5.6;-1.5
20071201013500;;;5.7;-0.6
20071201013600;329.1;2.1;5.6;-2.2
20071201013700;347.1;1.2;5.6;-2.3
20071201013800;339.1;1.2;5.6;-2.5
20071201013900;338.7;0.9;5.6;-2.6
20071201014000;342.1;0.9;5.5;-2.1
20071201014100;333.5;1.2;5.5;-2.2
20071201014200;340.2;1.0;5.6;-2.3
20071201014300;340.2;1.0;5.5;-1.7
20071201014400;331.4;1.2;5.5;-1.7
20071201014500;336.1;1.2;5.3;-2.1
20071201014600;333.1;1.5;5.4;-1.8
20071201014700;344.0;0.9;5.3;-3.2
20071201014800;346.3;0.9;5.3;-3.3
20071201014900;338.8;1.7;5.2;-2.6
20071201015000;;;5.2;-2.4
20071201015100;335.2;1.7;5.1;-2.4
20071201015200;329.5;1.7;5.4;-1.1
20071201015300;331.6;1.4;5.4;-0.8
20071201015400;328.6;2.3;5.4;-0.5
20071201015500;334.1;2.1;5.6;0.6
20071201015600;330.6;2.9;5.5;0.3
20071201015700;335.3;1.6;5.4;-1.0
20071201015800;340.2;0.7;5.5;-1.7
20071201015900;340.2;0.7;5.4;-1.3
20071201020000;341.5;1.2;5.4;-1.0
20071201020100;329.5;2.7;5.3;-1.3
20071201020200;330.3;2.0;5.3;-1.2
20071201020300;329.0;2.2;5.2;-1.1
20071201020400;329.8;1.6;5.3;-1.3
20071201020500;331.4;1.5;5.2;-1.3
20071201020600;330.0;2.1;5.2;-1.6
20071201020700;332.7;1.6;5.1;-1.6
20071201020800;329.5;2.4;5.2;-1.7
20071201020900;329.2;2.5;5.2;-1.7
20071201021000;336.0;1.2;5.3;-2.4
20071201021100;334.6;1.1;5.2;-2.5
20071201021200;330.5;1.8;5.3;-2.5
20071201021300;337.9;1.4;5.3;-2.5
20071201021400;330.1;1.3;5.4;-2.3
20071201021500;330.1;1.3;5.2;-2.6
20071201021600;342.1;0.9;5.3;-2.4
20071201021700;339.0;1.0;5.4;-2.2
20071201021800;334.9;1.3;5.3;-2.1
20071201021900;341.0;1.1;5.3;-1.7
20071201022000;330.0;2.2;5.2;-1.8
20071201022100;332.1;1.0;5.5;-0.5
20071201022200;332.5;2.0;5.4;-0.7
20071201022300;;;5.4;-0.6
20071201022400;331.6;2.2;5.4;-0.6
20071201022500;329.1;1.8;5.4;-0.4
20071201022600;324.8;2.1;5.4;-0.9
20071201022700;325.1;2.4;5.4;-0.5
20071201022800;326.6;2.3;5.4;-0.3
20071201022900;333.3;2.2;5.4;-0.5
20071201023000;333.0;2.3;5.3;-0.4
20071201023100;333.0;2.3;5.4;-0.8
20071201023200;331.4;1.7;5.4;-1.4
20071201023300;328.8;1.7;5.3;-1.5
20071201023400;328.2;2.0;5.2;-1.6
20071201023500;332.1;1.1;5.3;-1.8
20071201023600;336.0;0.9;5.3;-1.0
20071201023700;332.1;1.4;5.4;-1.1
20071201023800;332.0;1.1;5.3;-0.0
20071201023900;327.7;2.0;5.2;-1.1
20071201024000;345.7;1.0;5.1;-0.6
20071201024100;339.4;1.5;4.9;-0.6
20071201024200;339.9;1.3;4.9;-1.0
20071201024300;340.0;1.9;4.3;-0.5
20071201024400;336.8;2.3;4.6;-0.6
20071201024500;331.1;2.5;4.7;-0.7
20071201024600;334.1;1.5;4.8;-0.6
20071201024700;334.1;1.5;4.4;-0.6
20071201024800;343.7;1.5;4.2;-0.7
20071201024900;344.5;1.5;4.0;-0.7
20071201025000;338.4;2.2;3.7;-0.8
20071201025100;342.4;2.2;3.6;-0.8
20071201025200;346.1;1.8;3.4;-0.8
20071201025300;339.5;2.8;3.3;-0.5
20071201025400;345.3;2.0;3.0;-0.4
20071201025500;343.9;3.0;2.8;-0.5
20071201025600;;;2.7;-0.6
20071201025700;351.8;2.5;1.7;-0.4
20071201025800;350.5;3.1;1.1;-0.0
20071201025900;351.7;3.0;1.1;0.6
20071201030000;350.3;3.0;1.0;0.5
20071201030100;354.9;2.5;1.0;0.3
20071201030200;343.7;2.9;1.1;-0.2
20071201030300;343.7;2.9;1.5;-0.7
20071201030400;346.5;1.8;1.8;-1.1
20071201030500;349.6;1.5;1.7;-1.1
20071201030600;342.7;2.0;1.7;-1.0
20071201030700;345.9;1.7;1.8;-1.3
20071201030800;349.1;2.1;2.1;-1.3
20071201030900;341.7;1.6;2.0;-1.4
20071201031000;342.8;1.5;2.1;-1.5
20071201031100;340.0;1.9;2.3;-1.7
20071201031200;343.8;1.6;2.2;-1.7
20071201031300;339.2;1.7;2.0;-1.5
20071201031400;344.1;1.5;2.1;-1.5
20071201031500;344.3;2.2;2.1;-1.6
20071201031600;345.8;2.0;2.2;-1.8
20071201031700;347.7;1.9;2.1;-1.8
20071201031800;346.8;2.0;2.1;-1.9
20071201031900;346.8;2.0;2.2;-1.8
20071201032000;341.2;2.3;2.2;-1.8
20071201032100;346.7;2.2;2.2;-1.7
20071201032200;343.3;2.1;2.1;-1.8
20071201032300;345.7;1.9;2.2;-1.9
20071201032400;341.4;2.1;1.5;-1.3
20071201032500;346.2;1.7;1.4;-1.2
20071201032600;344.9;2.1;1.2;-1.0
20071201032700;351.0;1.7;1.3;-1.1
20071201032800;345.6;1.8;1.4;-1.2
20071201032900;;;1.5;-1.3
20071201033000;346.2;2.4;1.2;-0.9
20071201033100;341.6;2.5;1.2;-1.0
20071201033200;345.3;2.2;1.3;-1.1
20071201033300;344.8;2.1;1.5;-1.3
20071201033400;347.8;2.4;1.5;-1.2
20071201033500;347.8;2.4;1.7;-1.5
20071201033600;342.9;2.6;1.6;-1.4
20071201033700;343.8;2.1;1.8;-1.6
20071201033800;344.6;1.8;1.5;-1.2
20071201033900;347.6;2.2;1.9;-1.6
20071201034000;343.5;2.6;1.7;-1.4
20071201034100;349.7;2.1;1.5;-1.3
20071201034200;345.4;2.3;1.7;-1.5
20071201034300;346.5;2.6;1.7;-1.5
20071201034400;343.9;2.5;1.7;-1.5
20071201034500;348.6;2.1;1.7;-1.4
20071201034600;350.2;2.2;1.6;-1.4
20071201034700;351.6;2.2;1.7;-1.3
20071201034800;351.0;2.1;1.8;-1.5
20071201034900;354.8;2.3;1.7;-1.4
20071201035000;349.9;3.2;1.7;-1.4
20071201035100;349.9;3.2;1.7;-1.3
20071201035200;354.3;2.7;1.1;-0.7
20071201035300;349.5;3.5;1.9;-1.2
20071201035400;355.7;2.4;2.1;-1.3
20071201035500;355.4;2.3;1.7;-1.1
20071201035600;353.9;3.2;1.7;-1.0
20071201035700;350.8;3.3;1.8;-1.2
20071201035800;359.1;2.8;1.7;-1.4
20071201035900;356.3;2.2;1.5;-1.0
20071201040000;360.2;2.6;1.5;-0.9
20071201040100;349.2;3.4;1.5;-0.9
20071201040200;;;1.6;-0.9
20071201040300;362.3;2.3;1.8;-1.1
20071201040400;360.1;2.3;2.0;-1.3
20071201040500;352.0;3.3;2.0;-1.0
20071201040600;353.7;3.7;1.7;-1.0
20071201040700;353.7;3.7;1.8;-1.3
20071201040800;353.6;2.7;2.0;-1.2
20071201040900;354.2;3.4;1.9;-1.0
20071201041000;356.7;2.5;2.1;-1.3
20071201041100;356.7;3.3;2.0;-1.2
20071201041200;356.0;3.3;2.0;-1.2
20071201041300;354.4;3.2;2.2;-1.2
20071201041400;354.7;2.8;2.1;-1.2
20071201041500;360.0;2.4;2.0;-1.1
20071201041600;360.6;2.4;2.4;-1.4
20071201041700;363.6;2.2;2.2;-1.4
20071201041800;356.6;2.5;1.8;-1.1
20071201041900;363.6;2.5;1.6;-1.0
20071201042000;355.6;3.1;1.6;-0.9
20071201042100;359.9;2.7;1.9;-1.1
20071201042200;360.8;2.5;2.0;-1.4
20071201042300;360.8;2.5;2.0;-1.3
20071201042400;357.4;2.6;1.9;-1.3
20071201042500;356.0;2.7;2.1;-1.3
20071201042600;363.7;2.1;2.3;-1.0
20071201042700;358.2;2.3;2.4;-1.0
20071201042800;356.2;2.9;2.3;-1.1
20071201042900;356.0;2.6;2.0;-1.0
20071201043000;355.4;2.9;2.2;-1.2
20071201043100;350.6;3.2;2.2;-1.3
20071201043200;359.3;2.6;1.4;-0.4
20071201043300;351.1;3.2;1.8;-0.1
20071201043400;351.9;3.8;1.8;-0.3
20071201043500;;;1.7;-0.4
20071201043600;355.9;4.0;1.8;-0.5
20071201043700;359.9;2.7;1.5;-0.3
20071201043800;360.1;2.7;1.5;-0.4
20071201043900;360.1;2.7;1.8;-0.6
20071201044000;358.8;2.3;1.8;-0.7
20071201044100;350.8;3.6;1.5;-0.6
20071201044200;354.2;3.1;1.3;-0.6
20071201044300;355.6;3.1;1.1;-0.5
20071201044400;356.9;2.7;1.3;-0.7
20071201044500;360.8;2.6;1.1;-0.6
20071201044600;352.7;3.3;1.1;-0.5
20071201044700;354.0;3.2;0.8;-0.2
20071201044800;356.8;3.0;0.8;-0.4
20071201044900;359.4;2.7;0.6;-0.4
20071201045000;356.3;2.8;0.5;-0.3
20071201045100;351.5;3.9;1.2;-0.5
20071201045200;350.9;2.8;1.3;-0.4
20071201045300;356.6;2.9;1.2;-0.6
20071201045400;354.7;2.5;1.2;-0.4
20071201045500;354.7;2.5;1.2;-0.2
20071201045600;360.4;2.6;1.4;-0.0
20071201045700;348.3;3.8;1.0;-0.1
20071201045800;357.2;2.3;0.9;-0.2
20071201045900;351.5;2.8;0.7;0.0
20071201050000;353.2;3.1;0.7;-0.2
20071201050100;348.6;3.7;0.9;-0.1
20071201050200;353.3;3.6;1.1;-0.0
20071201050300;352.0;3.2;0.9;0.0
20071201050400;354.0;2.7;1.0;0.4
20071201050500;352.8;2.6;1.1;0.7
20071201050600;357.5;2.3;1.0;0.0
20071201050700;349.9;3.0;1.0;-0.2
20071201050800;;;1.3;-0.1
20071201050900;349.9;2.6;1.3;-0.3
20071201051000;355.6;2.3;1.1;-0.1
20071201051100;355.6;2.3;0.9;-0.0
