Date;Speed;Density;Bt;Bz
20070901000000;408.4;4.7;3.4;1.3
20070901000100;408.2;4.7;3.1;1.2
20070901000200;408.6;4.9;3.7;1.6
20070901000300;411.8;5.2;3.6;1.5
20070901000400;411.8;5.2;3.5;1.5
20070901000500;409.6;5.0;3.3;1.5
20070901000600;410.1;4.6;2.9;1.5
20070901000700;406.7;5.1;3.3;1.3
20070901000800;406.1;4.4;3.3;1.4
20070901000900;406.2;5.3;3.3;1.3
20070901001000;406.9;4.9;3.7;1.6
20070901001100;403.2;5.0;3.9;1.6
20070901001200;407.7;4.8;3.9;1.6
20070901001300;;;3.4;1.6
20070901001400;416.8;5.3;3.4;1.4
20070901001500;417.9;5.0;3.5;1.4
20070901001600;419.4;5.8;3.6;1.4
20070901001700;422.8;5.9;3.7;1.3
20070901001800;425.1;6.3;3.7;1.3
20070901001900;424.0;5.8;4.2;1.8
20070901002000;424.0;5.8;3.8;0.5
20070901002100;429.4;5.7;4.6;-0.2
20070901002200;432.6;6.0;4.8;0.1
20070901002300;428.4;5.6;5.3;0.4
20070901002400;428.8;5.4;5.1;0.6
20070901002500;428.7;5.5;5.1;0.6
20070901002600;429.7;5.4;5.0;0.3
20070901002700;431.2;6.0;5.1;0.3
20070901002800;429.9;5.5;5.0;0.5
20070901002900;436.8;6.6;4.9;1.5
20070901003000;425.1;5.4;5.5;2.0
20070901003100;427.1;5.3;5.6;2.1
20070901003200;426.8;5.3;5.4;2.0
20070901003300;427.4;5.0;5.6;2.1
20070901003400;429.9;5.5;5.5;2.1
20070901003500;427.6;5.5;5.3;2.0
20070901003600;427.6;5.5;5.3;2.0
20070901003700;429.5;5.1;4.7;2.0
20070901003800;423.5;5.5;4.6;1.9
20070901003900;423.7;5.3;4.7;1.9
20070901004000;423.6;5.2;4.9;2.0
20070901004100;423.3;5.3;5.0;2.0
20070901004200;422.6;5.3;5.0;1.9
20070901004300;421.1;5.5;5.0;2.3
20070901004400;424.4;5.6;4.9;2.4
20070901004500;429.3;5.9;4.8;2.3
20070901004600;;;4.4;1.9
20070901004700;432.2;6.8;4.1;1.6
20070901004800;430.9;6.9;3.9;1.6
20070901004900;431.5;6.9;3.6;1.5
20070901005000;434.8;6.5;4.3;1.7
20070901005100;432.0;6.7;4.2;1.7
20070901005200;432.0;6.7;3.8;1.6
20070901005300;431.6;6.8;4.0;1.7
20070901005400;431.2;6.9;3.9;1.7
20070901005500;434.0;6.9;3.6;1.8
20070901005600;432.6;6.7;3.7;2.3
20070901005700;416.0;5.1;4.1;2.7
20070901005800;412.5;5.6;4.1;2.8
20070901005900;413.0;6.1;3.9;2.8
20070901010000;409.3;5.6;4.0;2.8
20070901010100;408.9;5.8;4.0;2.8
20070901010200;412.5;6.1;4.3;3.1
20070901010300;423.2;5.9;4.5;3.0
