Date;Speed;Density;Bt;Bz
20070601000000;349.7;2.2;2.4;0.6
20070601000100;;;2.1;1.0
20070601000200;353.6;2.2;1.3;-0.0
20070601000300;346.5;3.4;4.0;-1.8
20070601000400;352.0;2.4;3.4;-1.4
20070601000500;349.2;3.1;2.9;-0.6
20070601000600;343.2;2.7;3.3;-1.2
20070601000700;350.7;2.1;2.7;-0.9
20070601000800;358.9;1.7;3.0;-0.9
20070601000900;355.6;1.9;2.7;-1.0
20070601001000;354.4;2.3;2.6;-0.5
20070601001100;351.2;2.2;2.5;0.0
20070601001200;353.4;2.4;2.0;-0.3
20070601001300;347.5;3.2;1.4;-0.4
20070601001400;346.8;2.8;2.5;-0.9
20070601001500;352.7;2.0;3.1;-1.2
20070601001600;352.7;2.0;3.3;-1.4
20070601001700;352.2;2.0;2.2;-0.9
20070601001800;355.3;2.5;2.1;-0.2
20070601001900;356.7;2.6;2.4;0.0
20070601002000;350.9;2.0;3.8;0.7
20070601002100;343.6;2.0;3.5;0.8
20070601002200;343.2;2.2;3.6;0.4
20070601002300;351.7;2.0;3.6;0.2
20070601002400;339.2;2.4;3.7;0.0
20070601002500;333.1;2.5;3.5;-0.3
20070601002600;346.8;2.3;3.3;-0.3
20070601002700;343.4;1.9;3.7;-0.4
20070601002800;339.4;2.6;3.9;-0.6
20070601002900;342.5;2.0;3.9;-0.6
20070601003000;;;4.0;-0.7
20070601003100;342.6;2.1;4.1;-0.8
20070601003200;342.6;2.1;4.2;-1.2
20070601003300;344.3;2.0;4.0;-1.5
20070601003400;;;3.7;-1.6
20070601003500;348.8;2.1;3.7;-1.8
20070601003600;342.6;2.2;4.0;-2.2
20070601003700;347.8;1.5;4.1;-2.5
20070601003800;346.6;1.9;4.3;-1.9
20070601003900;348.2;1.7;4.4;-1.9
20070601004000;338.6;2.3;4.5;-2.1
20070601004100;344.6;1.6;4.4;-2.0
20070601004200;348.5;2.2;4.0;-0.4
20070601004300;346.8;1.8;4.2;-0.6
20070601004400;353.5;1.7;4.3;-0.8
20070601004500;342.8;2.5;4.2;-1.4
20070601004600;336.0;2.8;4.0;-1.4
20070601004700;346.3;2.0;4.0;-1.7
20070601004800;346.3;2.0;4.1;-1.6
20070601004900;343.5;1.7;4.3;-1.8
20070601005000;346.5;2.1;4.5;-2.3
20070601005100;344.6;2.6;4.6;-2.3
20070601005200;342.8;2.5;4.5;-2.4
20070601005300;342.0;2.3;4.6;-2.4
20070601005400;350.3;2.1;4.8;-2.5
20070601005500;344.4;2.2;5.0;-2.9
20070601005600;350.2;1.7;4.6;-2.3
20070601005700;350.1;2.4;4.1;0.4
20070601005800;342.9;3.2;4.2;1.2
20070601005900;351.2;2.2;4.2;1.0
20070601010000;347.6;2.5;4.2;0.9
20070601010100;343.5;2.8;4.3;1.0
20070601010200;342.4;3.0;4.3;1.0
20070601010300;346.5;2.0;4.6;1.2
20070601010400;346.5;2.0;4.5;1.3
20070601010500;350.5;1.9;4.3;1.5
20070601010600;346.3;2.2;4.1;1.8
20070601010700;;;4.4;1.5
20070601010800;341.3;2.8;4.3;1.4
20070601010900;342.1;3.0;4.2;1.5
20070601011000;343.2;3.0;4.4;1.4
20070601011100;346.4;2.3;4.4;1.3
20070601011200;336.1;3.4;4.4;1.2
20070601011300;341.8;2.8;4.7;0.7
20070601011400;340.7;2.7;4.7;0.6
20070601011500;344.5;2.1;4.6;0.3
20070601011600;340.7;2.5;4.6;0.1
20070601011700;340.6;2.7;4.7;-0.2
20070601011800;340.7;2.4;4.7;0.3
20070601011900;348.1;1.4;4.7;0.2
20070601012000;348.1;1.4;4.8;0.0
20070601012100;346.8;1.9;4.7;-0.3
20070601012200;340.3;1.7;4.7;0.2
20070601012300;341.9;2.2;4.5;0.7
20070601012400;343.8;2.3;4.5;0.4
20070601012500;340.3;2.6;4.6;0.4
20070601012600;339.3;2.1;4.4;0.7
20070601012700;340.6;2.9;4.5;-0.3
20070601012800;342.1;2.7;4.4;-0.6
20070601012900;342.8;2.4;4.5;-0.8
20070601013000;342.2;2.9;4.6;-1.1
20070601013100;349.5;2.2;4.6;-1.3
20070601013200;346.7;2.3;4.6;-1.6
20070601013300;340.9;2.6;4.6;-1.9
20070601013400;341.5;3.3;4.4;-2.4
20070601013500;344.8;2.8;4.4;-2.3
20070601013600;344.8;2.8;4.5;-3.0
20070601013700;342.6;2.4;4.4;-2.3
20070601013800;351.4;2.5;4.2;-2.7
20070601013900;351.9;2.0;4.2;-2.3
20070601014000;;;4.2;-2.2
20070601014100;353.1;2.4;4.3;-2.2
20070601014200;350.9;2.8;4.5;-2.0
20070601014300;351.1;2.3;4.5;-1.7
20070601014400;347.9;2.6;4.5;-1.3
20070601014500;350.7;2.5;4.5;-1.4
20070601014600;344.6;2.7;4.6;-1.4
20070601014700;344.2;2.9;4.6;-1.6
20070601014800;346.3;2.9;4.7;-1.3
20070601014900;345.8;2.3;4.5;-2.4
20070601015000;353.8;1.6;5.7;-4.7
20070601015100;353.4;2.1;5.7;-4.8
20070601015200;353.4;2.1;5.6;-4.9
20070601015300;350.1;1.7;5.7;-4.9
20070601015400;349.8;2.1;5.9;-4.5
20070601015500;346.2;2.0;5.7;-4.3
20070601015600;351.7;2.2;5.5;-3.7
20070601015700;353.3;2.5;5.5;-3.3
20070601015800;347.5;3.0;5.9;-4.0
20070601015900;349.8;2.7;5.5;-3.3
20070601020000;350.4;2.5;5.2;-2.1
20070601020100;348.5;3.1;5.1;-2.3
20070601020200;354.7;2.5;5.4;-3.5
20070601020300;357.1;1.7;5.6;-3.6
20070601020400;340.4;3.4;5.2;-2.0
20070601020500;346.1;2.9;5.3;-2.3
20070601020600;347.9;2.5;5.4;-2.8
20070601020700;346.0;3.7;5.4;-2.9
20070601020800;346.0;3.7;5.2;-2.4
20070601020900;345.0;2.8;5.3;-1.2
20070601021000;343.7;2.7;5.2;-1.4
20070601021100;349.9;2.5;5.2;-1.5
20070601021200;344.5;3.3;5.3;-1.2
20070601021300;;;5.2;-1.4
20070601021400;348.4;2.7;5.3;-1.3
20070601021500;343.9;2.8;5.3;-1.8
20070601021600;352.0;2.9;5.3;-1.7
20070601021700;348.2;2.9;5.2;-1.5
20070601021800;348.0;3.1;5.4;-2.5
20070601021900;344.5;3.4;5.4;-2.8
20070601022000;346.0;2.8;5.4;-2.4
20070601022100;342.7;2.8;5.3;-1.7
20070601022200;344.4;2.6;5.4;-1.8
20070601022300;340.1;3.8;5.4;-1.7
20070601022400;340.1;3.8;5.5;-2.1
20070601022500;344.9;2.9;5.4;-2.5
20070601022600;344.8;2.6;5.5;-2.3
20070601022700;346.1;2.9;5.5;-2.2
20070601022800;347.0;2.9;5.5;-2.1
20070601022900;344.1;3.2;5.5;-1.9
20070601023000;347.1;3.0;5.5;-2.0
20070601023100;344.7;2.6;5.5;-2.2
20070601023200;345.6;2.9;5.5;-2.8
20070601023300;344.9;2.8;5.4;-3.1
20070601023400;342.2;2.4;5.4;-3.4
20070601023500;353.6;3.2;4.8;-0.6
20070601023600;348.6;4.4;4.7;-0.3
20070601023700;348.3;3.8;4.7;-1.0
20070601023800;346.5;2.9;5.0;-1.6
20070601023900;347.1;3.0;4.9;-2.6
20070601024000;347.1;3.0;4.9;-3.0
20070601024100;342.4;2.4;4.8;-2.3
20070601024200;349.9;3.2;4.7;-2.9
20070601024300;340.9;2.9;5.1;-2.2
20070601024400;356.5;2.3;5.4;-3.0
20070601024500;348.3;2.5;5.4;-3.0
20070601024600;;;5.4;-3.0
20070601024700;347.1;3.1;5.2;-2.8
20070601024800;349.1;2.9;5.4;-3.2
20070601024900;348.1;2.2;5.2;-2.9
20070601025000;349.4;2.9;4.9;-1.9
20070601025100;344.1;2.8;4.9;-2.0
20070601025200;343.9;2.4;4.9;-2.1
20070601025300;348.0;2.5;5.0;-2.1
20070601025400;344.8;2.5;5.0;-2.1
20070601025500;338.0;2.8;5.1;-2.4
20070601025600;338.0;2.8;5.1;-1.8
20070601025700;343.0;2.2;5.0;-0.4
20070601025800;335.0;2.6;5.1;-1.1
20070601025900;339.6;2.5;5.3;-1.6
