Date;Speed;Density;Bt;Bz
20090101000000;521.2;2.0;4.5;1.7
20090101000100;522.0;2.0;4.5;2.0
20090101000200;520.9;2.1;4.5;1.7
20090101000300;508.5;2.4;4.6;2.0
20090101000400;519.1;2.2;4.7;0.8
20090101000500;514.8;2.2;4.6;-1.3
20090101000600;513.0;2.5;4.8;-1.9
20090101000700;514.5;2.3;4.7;-1.5
20090101000800;;;4.8;-1.3
20090101000900;;;4.8;-1.2
20090101001000;512.8;2.4;4.7;-0.7
20090101001100;511.5;2.3;4.8;-0.6
20090101001200;513.6;2.3;4.7;-0.3
20090101001300;511.7;2.3;4.6;-0.2
20090101001400;515.8;2.4;4.5;-0.0
20090101001500;513.8;2.4;4.4;-0.8
20090101001600;519.1;2.3;4.5;-1.5
20090101001700;519.1;2.3;4.5;-2.0
20090101001800;520.2;2.3;4.6;-1.8
20090101001900;517.4;2.4;4.4;-1.7
20090101002000;526.2;2.0;4.3;-2.2
20090101002100;521.2;2.0;4.5;-2.5
20090101002200;524.2;2.2;4.4;-2.6
20090101002300;514.7;2.2;4.5;-2.1
20090101002400;;;4.5;-0.8
20090101002500;;;4.6;-0.9
20090101002600;518.8;2.3;4.7;-1.2
20090101002700;520.6;2.3;4.6;0.3
20090101002800;512.2;2.3;4.7;-0.1
20090101002900;513.9;2.4;4.7;-0.7
20090101003000;516.3;2.3;4.7;-0.6
20090101003100;515.4;2.4;4.8;-0.9
20090101003200;513.1;2.3;4.7;-1.1
20090101003300;514.3;2.6;4.8;-1.3
20090101003400;514.3;2.5;4.7;-1.7
20090101003500;516.9;2.4;4.7;-1.6
20090101003600;516.2;2.5;4.7;-1.5
20090101003700;516.0;2.5;4.6;-1.4
20090101003800;519.5;2.3;4.4;-1.5
20090101003900;520.8;2.5;4.4;-2.6
20090101004000;523.0;2.2;4.3;-2.8
20090101004100;523.0;2.2;4.5;-2.3
20090101004200;;;4.5;-2.3
20090101004300;514.3;2.2;4.5;-3.0
20090101004400;525.3;2.1;4.6;-3.1
20090101004500;524.0;2.1;4.1;-2.7
20090101004600;522.9;2.2;4.1;-2.0
20090101004700;521.8;2.4;4.2;-1.7
20090101004800;521.2;2.3;4.1;-2.1
20090101004900;521.7;2.2;4.1;-2.2
20090101005000;523.7;2.3;4.3;-1.4
20090101005100;520.7;2.2;4.4;-1.0
20090101005200;520.5;2.3;4.5;-0.8
20090101005300;519.3;2.2;4.4;-0.6
20090101005400;519.2;2.3;4.3;-0.8
20090101005500;519.4;2.3;4.3;-0.5
20090101005600;519.2;2.4;4.4;-0.6
20090101005700;519.2;2.4;4.4;-0.2
20090101005800;520.4;2.3;4.5;-0.0
20090101005900;520.3;2.3;4.5;-0.6
20090101010000;520.6;2.3;4.5;-0.5
20090101010100;520.1;2.4;4.6;-0.0
20090101010200;521.4;2.2;4.5;-0.0
20090101010300;520.8;2.2;4.4;-0.1
20090101010400;521.6;2.3;4.4;-1.0
20090101010500;521.1;2.4;4.4;-0.3
20090101010600;521.7;2.3;4.3;-0.3
20090101010700;523.4;2.2;4.4;-0.6
20090101010800;523.7;2.1;4.4;-0.3
20090101010900;522.2;2.2;4.3;0.1
20090101011000;521.5;2.2;4.3;0.5
20090101011100;521.3;2.3;4.4;-0.1
20090101011200;523.8;2.1;4.3;0.2
20090101011300;523.8;2.1;4.3;-0.1
20090101011400;522.5;2.1;4.3;0.1
20090101011500;;;4.3;0.3
20090101011600;523.8;2.1;4.5;0.6
20090101011700;529.2;1.7;4.6;0.9
20090101011800;525.9;1.8;4.4;1.0
20090101011900;529.2;1.7;4.6;1.1
20090101012000;528.9;1.8;4.2;0.7
20090101012100;526.0;2.1;4.4;-0.4
20090101012200;526.1;2.2;4.4;-1.1
20090101012300;529.2;2.0;4.4;-1.3
20090101012400;528.8;2.0;4.3;-1.2
20090101012500;525.7;2.1;4.3;-0.9
20090101012600;527.1;1.9;4.5;-0.7
20090101012700;524.2;1.8;4.6;-0.2
20090101012800;521.6;1.8;4.6;0.1
20090101012900;521.6;1.8;4.7;-0.2
20090101013000;524.4;1.6;4.7;-0.4
20090101013100;524.3;1.8;4.6;0.6
20090101013200;523.5;1.5;4.8;-0.1
20090101013300;515.7;2.2;4.8;-2.3
20090101013400;524.1;1.8;4.9;-1.9
