Date;Speed;Density;Bt;Bz
20090701000000;457.3;2.6;2.3;-1.5
20090701000100;456.3;2.6;2.2;-1.1
20090701000200;453.7;2.7;2.0;-0.5
20090701000300;451.8;2.9;2.0;-0.7
20090701000400;452.7;2.8;2.2;-0.6
20090701000500;452.9;2.8;2.1;-0.8
20090701000600;452.0;2.8;2.2;-1.0
20090701000700;452.7;2.8;2.1;-0.9
20090701000800;454.3;2.8;2.1;-0.9
20090701000900;454.5;2.8;2.1;-0.8
20090701001000;454.3;2.7;2.0;-0.9
20090701001100;453.4;2.7;2.0;-0.8
20090701001200;451.7;2.7;2.1;-0.8
20090701001300;449.5;2.6;2.1;-0.0
20090701001400;450.4;2.7;2.0;0.4
20090701001500;450.4;2.7;2.3;0.7
20090701001600;447.6;3.0;2.2;1.0
20090701001700;447.9;3.1;2.2;1.0
20090701001800;448.2;3.0;2.2;0.6
20090701001900;447.9;2.9;2.2;0.3
20090701002000;447.8;2.9;2.2;0.2
20090701002100;;;2.2;0.2
20090701002200;;;2.2;-0.1
20090701002300;450.0;3.0;2.2;-0.3
20090701002400;449.3;3.2;2.3;-0.4
20090701002500;451.7;2.9;2.3;-0.5
20090701002600;452.5;2.8;2.3;-0.6
20090701002700;451.8;3.0;2.2;-0.5
20090701002800;452.1;3.0;2.2;-0.4
20090701002900;452.8;3.0;2.2;-0.7
20090701003000;451.6;2.9;2.2;-0.5
20090701003100;451.6;2.9;2.2;-0.9
20090701003200;455.3;3.0;2.5;-1.7
20090701003300;459.9;2.7;2.4;-1.4
20090701003400;457.1;2.7;2.3;-1.6
20090701003500;459.5;2.6;2.2;-0.6
20090701003600;458.4;3.1;2.1;-1.5
20090701003700;458.3;2.5;2.2;-1.2
20090701003800;463.8;2.8;2.3;-1.7
20090701003900;461.2;2.8;2.4;-1.5
20090701004000;464.6;2.9;2.3;-1.7
20090701004100;459.6;2.8;2.1;-0.8
20090701004200;456.8;3.2;2.2;-0.6
20090701004300;456.9;3.1;2.2;-0.7
20090701004400;458.4;3.1;2.1;-0.3
20090701004500;458.4;3.3;2.1;-0.7
20090701004600;457.0;3.0;2.3;-0.8
20090701004700;457.0;3.0;2.2;-0.5
20090701004800;455.6;3.0;2.2;-0.6
20090701004900;454.0;3.0;2.2;-0.6
20090701005000;453.0;3.0;2.3;-0.4
20090701005100;455.1;3.1;2.3;-0.4
20090701005200;454.4;3.0;2.3;-0.7
20090701005300;455.0;2.9;2.2;-0.6
20090701005400;;;2.3;-0.4
20090701005500;;;2.3;-0.2
20090701005600;455.4;3.0;2.4;-0.4
20090701005700;459.1;2.9;2.3;-0.2
20090701005800;462.4;3.4;2.2;0.0
20090701005900;457.7;3.1;2.4;-0.7
20090701010000;461.0;3.1;2.4;-0.5
20090701010100;456.3;3.2;2.5;-1.3
20090701010200;457.1;2.8;2.6;-1.7
20090701010300;457.1;2.8;2.6;-1.5
20090701010400;457.2;2.7;2.4;-1.2
20090701010500;453.6;2.9;2.4;-1.2
20090701010600;453.7;3.1;2.4;-1.0
20090701010700;453.0;3.0;2.3;-0.9
20090701010800;451.0;3.0;2.3;-1.0
20090701010900;449.3;2.6;2.3;-1.1
20090701011000;448.4;2.7;2.3;-1.3
20090701011100;453.2;2.9;2.1;-0.2
20090701011200;456.1;2.1;2.2;-0.2
20090701011300;453.5;2.3;2.3;0.0
20090701011400;454.9;2.1;2.2;-0.3
20090701011500;456.9;2.0;2.2;-0.4
20090701011600;453.8;2.1;2.2;-0.6
20090701011700;453.5;2.0;2.2;-0.9
20090701011800;452.8;2.0;2.2;-0.8
20090701011900;452.8;2.0;2.2;-0.9
20090701012000;452.7;2.1;2.2;-1.1
20090701012100;453.6;2.1;2.1;-1.3
20090701012200;452.3;2.1;2.1;-1.3
20090701012300;454.4;2.2;2.1;-1.2
20090701012400;453.8;2.2;2.1;-1.3
20090701012500;456.2;2.3;1.9;-1.1
20090701012600;454.2;2.4;1.9;-1.2
20090701012700;;;2.0;-1.3
20090701012800;;;2.2;-1.1
20090701012900;457.2;2.0;2.2;-0.9
20090701013000;456.0;2.1;2.1;-0.9
20090701013100;459.0;2.1;2.2;-1.4
20090701013200;453.6;2.3;2.1;-1.5
20090701013300;451.8;2.2;2.1;-0.9
20090701013400;453.7;2.1;2.1;-0.8
20090701013500;453.7;2.1;2.2;-1.0
20090701013600;454.7;2.2;1.9;-1.2
20090701013700;453.1;2.4;2.0;-0.9
20090701013800;454.7;2.4;1.9;-0.8
20090701013900;454.4;2.4;1.9;-1.3
20090701014000;456.7;2.3;1.9;-1.7
20090701014100;459.2;2.3;2.1;-1.2
20090701014200;459.3;2.1;2.3;-1.0
20090701014300;459.5;2.1;2.3;-1.0
20090701014400;465.3;2.1;2.2;-0.8
20090701014500;462.4;1.9;2.5;-0.8
20090701014600;461.9;2.1;2.4;-1.1
20090701014700;466.1;1.9;2.6;-1.0
20090701014800;460.1;1.8;2.4;-0.8
20090701014900;463.7;1.9;2.5;-0.6
20090701015000;460.7;1.8;2.3;-0.1
20090701015100;460.7;1.8;2.4;-1.2
20090701015200;460.8;2.0;2.4;-1.1
20090701015300;458.2;2.0;2.4;-0.6
20090701015400;461.1;2.0;2.5;-1.2
20090701015500;464.8;1.9;2.7;-1.4
20090701015600;462.3;1.9;2.6;-1.6
20090701015700;462.6;2.2;2.5;-1.9
20090701015800;461.9;2.3;2.5;-2.0
20090701015900;461.9;2.3;2.5;-2.1
20090701020000;458.4;2.0;2.5;-1.9
20090701020100;;;2.5;-1.7
20090701020200;461.0;2.2;2.4;-1.7
20090701020300;460.9;2.2;2.3;-1.6
20090701020400;460.8;2.3;2.1;-1.4
20090701020500;459.4;2.2;2.3;-1.7
20090701020600;458.6;2.3;2.3;-1.8
20090701020700;458.6;2.3;2.0;-1.5
20090701020800;458.3;2.3;2.0;-1.5
20090701020900;455.5;2.2;2.3;-1.8
20090701021000;456.2;2.0;1.7;-1.4
20090701021100;457.0;2.4;1.5;-1.3
20090701021200;457.6;2.3;2.0;-1.8
20090701021300;458.2;2.5;2.2;-2.1
20090701021400;457.8;2.5;1.5;-1.2
20090701021500;458.0;2.5;1.2;-1.0
20090701021600;457.1;2.4;0.8;-0.7
20090701021700;456.0;2.6;0.3;0.1
20090701021800;454.6;2.8;0.8;0.7
20090701021900;452.7;2.8;1.4;1.3
20090701022000;452.3;3.1;1.7;1.6
20090701022100;451.6;3.0;1.5;1.3
20090701022200;453.6;3.0;1.6;1.4
20090701022300;453.6;3.0;0.6;-0.2
20090701022400;456.6;2.6;1.8;-1.4
20090701022500;464.9;2.2;1.5;-1.3
20090701022600;461.8;2.2;1.4;-1.1
20090701022700;461.9;2.1;1.3;-1.1
20090701022800;464.0;2.3;1.3;-1.1
20090701022900;466.5;2.2;1.5;-1.3
20090701023000;453.3;2.3;-999.9;-999.9
20090701023100;;;-999.9;-999.9
20090701023200;;;-999.9;-999.9
20090701023300;;;-999.9;-999.9
20090701023400;;;-999.9;-999.9
20090701023500;451.7;2.6;1.7;-0.3
20090701023600;451.1;2.6;1.7;-0.0
20090701023700;448.5;2.7;1.8;0.2
20090701023800;449.9;2.6;1.7;0.2
20090701023900;449.9;2.6;1.5;0.2
20090701024000;451.0;2.6;1.5;0.1
20090701024100;451.0;2.7;1.7;0.2
20090701024200;452.8;2.6;1.8;0.1
20090701024300;452.7;2.5;1.9;-0.1
20090701024400;456.0;2.4;1.6;0.2
20090701024500;452.2;2.7;1.6;0.2
20090701024600;451.2;2.7;1.7;0.4
20090701024700;451.5;2.8;1.8;0.6
20090701024800;451.5;2.7;1.9;0.6
20090701024900;453.6;2.6;2.2;0.6
20090701025000;454.4;2.7;2.1;0.5
20090701025100;453.2;2.7;1.9;0.6
20090701025200;452.9;2.8;1.8;0.9
20090701025300;453.8;3.0;1.7;1.0
20090701025400;452.0;2.8;1.7;1.0
20090701025500;452.0;2.8;2.0;1.0
20090701025600;451.8;2.8;2.1;1.1
20090701025700;452.8;3.0;2.2;1.2
20090701025800;452.1;2.9;2.2;0.9
20090701025900;452.4;2.7;2.2;0.6
20090701030000;454.1;2.7;2.2;0.5
20090701030100;454.0;2.7;2.2;0.6
20090701030200;451.9;2.8;2.2;0.7
20090701030300;452.6;2.8;2.3;0.9
20090701030400;451.5;2.8;2.3;1.0
20090701030500;452.6;2.9;2.3;1.1
20090701030600;451.1;2.8;2.3;1.2
20090701030700;;;2.2;1.1
20090701030800;449.3;3.0;2.2;1.3
20090701030900;449.2;2.7;2.1;0.6
20090701031000;447.4;3.0;2.2;0.1
20090701031100;447.4;3.0;2.3;-0.2
20090701031200;447.1;2.9;2.3;0.2
20090701031300;447.4;2.9;2.2;0.3
20090701031400;446.1;3.2;2.2;0.4
20090701031500;446.8;3.1;2.2;0.3
20090701031600;446.5;3.2;2.2;0.5
20090701031700;446.8;3.2;2.3;0.7
20090701031800;446.7;3.1;2.3;0.7
20090701031900;445.9;3.2;2.3;0.5
20090701032000;445.9;3.2;2.3;0.7
20090701032100;446.1;3.2;2.3;0.7
20090701032200;446.3;3.3;2.3;0.7
20090701032300;446.2;3.2;2.2;0.7
20090701032400;446.1;3.2;2.3;0.9
20090701032500;446.5;3.1;2.3;0.9
20090701032600;445.2;3.3;2.3;0.6
20090701032700;445.2;3.3;2.3;0.6
20090701032800;445.5;3.1;2.3;0.7
20090701032900;445.6;3.1;2.3;0.7
20090701033000;443.8;3.1;2.3;0.7
20090701033100;446.0;3.0;2.2;1.1
20090701033200;444.9;3.0;2.2;0.8
20090701033300;444.2;3.1;2.3;0.6
20090701033400;443.8;3.1;2.3;0.5
20090701033500;444.8;3.3;2.3;0.6
20090701033600;444.8;3.2;2.2;0.5
20090701033700;445.9;3.2;2.0;-0.1
20090701033800;447.3;3.2;2.3;-0.5
20090701033900;445.9;3.0;2.2;-0.1
20090701034000;;;2.3;0.2
20090701034100;445.2;3.0;2.3;0.4
20090701034200;443.2;3.0;2.2;0.4
20090701034300;443.2;3.0;2.2;0.4
20090701034400;445.0;3.1;2.5;1.1
20090701034500;;;2.1;0.0
20090701034600;445.0;3.1;2.0;0.2
20090701034700;443.5;3.1;2.1;0.0
20090701034800;;;2.1;0.4
20090701034900;443.4;3.0;2.1;0.5
20090701035000;;;2.0;0.6
20090701035100;443.0;3.0;2.0;0.6
20090701035200;444.5;3.0;1.9;0.7
20090701035300;444.0;3.0;2.0;0.8
20090701035400;443.5;2.8;2.1;0.8
20090701035500;444.0;2.9;2.1;0.9
20090701035600;443.0;2.7;2.2;0.8
20090701035700;442.5;2.7;2.2;0.8
20090701035800;445.1;2.8;2.1;1.0
20090701035900;445.1;2.8;2.1;0.9
20090701040000;443.3;2.8;2.1;0.7
20090701040100;445.5;2.7;2.1;0.5
20090701040200;443.5;2.7;2.1;0.5
20090701040300;444.6;2.6;2.0;1.0
20090701040400;445.5;2.9;2.0;0.2
20090701040500;445.2;2.4;2.1;0.2
20090701040600;443.8;2.8;2.0;-0.4
20090701040700;443.4;2.7;2.1;-0.1
20090701040800;442.3;2.7;2.2;0.1
20090701040900;443.5;2.6;2.1;-0.2
20090701041000;442.2;2.5;2.0;0.1
20090701041100;443.3;2.6;2.0;0.1
20090701041200;445.4;2.8;2.0;0.8
20090701041300;;;2.2;1.1
20090701041400;446.0;2.5;2.1;0.8
20090701041500;446.0;2.5;2.1;0.9
20090701041600;445.7;2.7;2.1;0.8
20090701041700;445.1;2.6;2.0;1.3
20090701041800;444.8;2.7;2.1;1.4
20090701041900;445.0;3.2;2.3;1.0
20090701042000;451.6;2.2;2.1;1.6
20090701042100;450.7;2.6;2.2;1.4
20090701042200;454.4;2.2;2.3;0.8
20090701042300;455.9;2.2;2.2;0.9
20090701042400;453.0;2.3;2.1;0.8
20090701042500;448.3;2.3;2.1;0.7
20090701042600;448.4;2.4;2.1;0.8
20090701042700;445.8;2.4;2.0;0.7
20090701042800;447.9;2.5;2.1;0.8
20090701042900;450.5;2.3;2.2;0.9
20090701043000;448.6;2.4;2.1;0.9
20090701043100;448.6;2.4;2.1;0.5
20090701043200;447.3;2.4;2.1;0.4
20090701043300;446.9;2.2;2.1;0.2
20090701043400;448.2;2.3;2.1;0.5
20090701043500;447.7;2.4;2.1;0.5
20090701043600;449.6;2.2;2.1;0.6
20090701043700;449.5;2.1;2.1;0.6
20090701043800;450.5;2.1;2.0;0.9
20090701043900;443.4;2.5;2.0;1.1
20090701044000;446.5;2.5;2.1;1.1
20090701044100;451.0;2.2;2.6;0.4
20090701044200;446.4;2.3;2.5;1.2
20090701044300;451.9;2.4;2.4;1.4
20090701044400;451.4;2.3;2.3;1.2
20090701044500;450.3;2.4;2.4;1.4
20090701044600;;;2.3;1.2
20090701044700;;;2.4;1.1
20090701044800;451.0;2.2;2.5;1.0
20090701044900;451.8;2.2;2.2;1.0
20090701045000;448.9;2.4;2.5;0.9
20090701045100;455.7;2.2;2.6;0.9
20090701045200;457.4;2.1;2.2;0.9
20090701045300;448.1;2.5;2.2;0.9
20090701045400;447.1;2.6;2.2;1.0
20090701045500;446.6;2.4;2.2;1.0
20090701045600;447.4;2.5;2.4;1.2
20090701045700;447.2;2.4;2.4;1.2
20090701045800;450.0;2.2;2.4;1.0
20090701045900;448.7;2.3;2.5;1.0
20090701050000;447.1;2.2;2.5;0.9
20090701050100;448.4;2.3;2.4;0.9
20090701050200;447.4;2.3;2.5;0.7
20090701050300;447.4;2.3;2.5;0.1
20090701050400;446.9;2.3;2.6;1.4
20090701050500;449.2;2.4;2.6;1.2
20090701050600;448.7;2.4;2.6;1.3
20090701050700;448.4;2.4;2.5;1.2
20090701050800;447.0;2.5;2.6;1.3
20090701050900;447.1;2.4;2.6;1.2
20090701051000;448.5;2.5;2.5;1.2
20090701051100;447.7;2.5;2.5;1.1
20090701051200;448.0;2.4;2.5;0.8
20090701051300;451.6;2.4;2.6;1.0
20090701051400;451.4;2.2;2.5;1.0
20090701051500;447.3;2.5;2.5;1.0
20090701051600;445.3;2.5;2.5;0.9
20090701051700;446.4;2.6;2.4;0.3
20090701051800;444.4;2.1;2.3;0.3
20090701051900;444.4;2.1;2.2;0.1
20090701052000;;;2.4;0.4
20090701052100;448.3;2.3;2.4;0.6
20090701052200;447.4;2.3;2.4;0.6
20090701052300;448.1;2.3;2.4;0.6
20090701052400;447.6;2.1;2.3;0.4
20090701052500;448.0;2.1;2.2;0.3
20090701052600;444.6;2.2;2.2;0.4
20090701052700;444.8;2.0;2.2;0.1
20090701052800;445.0;2.1;2.2;0.1
20090701052900;445.3;2.1;2.1;0.1
20090701053000;440.2;2.7;2.0;0.8
20090701053100;443.8;2.4;2.0;0.5
20090701053200;444.6;2.3;2.1;0.1
20090701053300;446.2;2.5;1.7;-0.1
20090701053400;448.2;2.9;1.2;0.5
20090701053500;448.2;2.9;1.1;0.6
20090701053600;449.6;2.9;0.5;-0.2
20090701053700;449.3;3.1;0.4;-0.2
20090701053800;448.8;2.9;0.2;0.0
20090701053900;447.4;3.0;0.7;0.1
20090701054000;445.8;3.0;0.9;0.5
20090701054100;447.8;3.2;0.3;-0.0
20090701054200;450.0;3.1;0.5;-0.4
20090701054300;450.6;3.1;0.7;-0.5
20090701054400;449.6;3.3;0.4;0.0
20090701054500;445.5;3.3;0.6;-0.3
20090701054600;444.4;3.4;0.5;-0.3
20090701054700;447.3;3.2;1.0;-0.0
20090701054800;446.1;3.3;1.0;-0.1
20090701054900;445.4;3.2;0.5;-0.1
20090701055000;445.0;3.2;1.6;-0.4
20090701055100;445.0;3.2;1.6;-0.5
20090701055200;444.1;3.1;1.9;-0.7
20090701055300;;;2.1;-0.9
20090701055400;444.6;2.9;1.7;-0.2
20090701055500;443.8;3.0;1.9;-0.4
20090701055600;444.8;2.8;1.9;-0.9
20090701055700;443.6;2.9;2.0;-1.0
20090701055800;443.4;3.0;2.0;-1.3
20090701055900;446.7;3.0;2.1;-1.3
20090701060000;443.6;3.2;2.1;-1.4
20090701060100;445.8;3.3;2.1;-1.2
20090701060200;442.8;3.1;2.0;-1.1
20090701060300;442.7;3.1;2.0;-1.2
20090701060400;442.2;3.0;2.1;-1.2
20090701060500;447.0;2.9;2.2;-1.3
20090701060600;444.7;3.1;2.1;-1.2
20090701060700;444.7;3.1;1.9;-1.0
20090701060800;445.6;3.3;1.1;-0.8
20090701060900;443.0;3.2;1.1;-1.0
20090701061000;445.5;3.0;0.9;-0.8
20090701061100;445.2;2.9;1.6;-1.2
20090701061200;446.1;3.1;2.0;-1.3
20090701061300;446.5;3.2;1.9;-1.0
20090701061400;445.9;3.3;2.0;-1.1
20090701061500;445.0;3.1;2.1;-1.2
20090701061600;448.2;3.3;2.2;-1.6
20090701061700;447.3;3.0;2.2;-1.3
20090701061800;448.5;3.5;2.2;-1.3
20090701061900;446.8;3.1;2.2;-1.3
20090701062000;446.2;3.0;2.2;-1.1
20090701062100;444.6;3.1;2.0;-0.8
20090701062200;447.0;3.4;2.2;-1.2
20090701062300;447.0;3.4;2.3;-1.3
20090701062400;444.2;3.4;2.3;-1.3
20090701062500;445.3;3.1;2.3;-1.4
20090701062600;;;2.2;-1.3
20090701062700;442.5;3.0;2.3;-1.2
20090701062800;441.4;3.3;1.7;-1.0
20090701062900;440.9;3.1;1.5;-0.6
20090701063000;437.7;2.8;1.8;0.1
20090701063100;441.5;2.4;2.0;0.0
20090701063200;440.9;2.2;2.2;-0.5
20090701063300;438.7;2.3;2.0;0.4
20090701063400;437.7;2.5;2.2;1.0
20090701063500;440.3;2.2;2.0;-0.2
20090701063600;437.0;2.4;2.0;-0.5
20090701063700;435.1;2.4;2.0;-0.3
20090701063800;435.6;2.3;2.0;-0.3
20090701063900;435.6;2.3;2.1;-0.7
20090701064000;435.5;2.5;2.2;-0.5
20090701064100;438.1;2.1;2.1;-0.5
20090701064200;437.3;2.2;2.2;-0.1
20090701064300;439.2;2.0;2.2;0.2
20090701064400;437.0;2.2;2.2;0.2
20090701064500;438.0;2.2;2.2;0.1
20090701064600;432.9;2.4;2.2;0.3
20090701064700;435.2;2.2;2.2;0.3
20090701064800;434.5;2.4;2.2;0.3
20090701064900;436.6;2.2;2.2;0.5
20090701065000;434.5;2.4;2.2;0.0
20090701065100;435.5;2.2;2.2;-0.4
20090701065200;434.5;2.3;2.2;0.3
20090701065300;434.0;2.3;2.2;0.2
20090701065400;432.6;2.6;2.3;0.1
20090701065500;432.6;2.6;2.2;0.2
20090701065600;433.6;2.4;2.2;0.1
20090701065700;432.9;2.5;2.2;0.2
20090701065800;434.3;2.4;2.2;0.3
20090701065900;;;2.3;0.0
20090701070000;433.9;2.4;2.3;-0.0
20090701070100;434.9;2.4;2.3;0.1
20090701070200;435.0;2.3;2.3;0.2
20090701070300;432.8;2.5;2.3;0.2
20090701070400;434.0;2.3;2.2;0.2
20090701070500;433.6;2.5;2.2;0.3
20090701070600;435.2;2.2;2.2;0.2
20090701070700;434.6;2.4;2.2;0.2
20090701070800;434.9;2.3;2.2;0.2
20090701070900;434.3;2.4;2.3;0.1
20090701071000;435.6;2.2;2.3;0.2
20090701071100;435.6;2.2;2.3;-0.0
20090701071200;435.4;2.3;2.2;0.1
20090701071300;434.6;2.3;2.1;0.3
20090701071400;431.5;2.7;2.2;0.4
20090701071500;431.7;2.6;2.1;0.2
20090701071600;432.1;2.5;2.1;0.3
20090701071700;432.3;2.3;2.2;0.3
20090701071800;430.6;2.7;2.1;0.3
20090701071900;433.5;2.5;2.1;0.2
20090701072000;432.7;2.5;2.1;0.1
20090701072100;434.0;2.3;2.2;0.1
20090701072200;431.8;2.5;2.1;0.3
20090701072300;432.6;2.4;2.2;0.1
20090701072400;432.0;2.4;2.2;0.1
20090701072500;431.8;2.5;2.1;0.2
20090701072600;433.1;2.5;2.1;0.2
20090701072700;433.1;2.5;2.1;0.2
20090701072800;435.2;2.3;2.1;0.2
20090701072900;431.8;2.7;2.1;0.3
20090701073000;432.8;2.4;2.1;0.3
20090701073100;431.0;2.7;2.1;0.4
20090701073200;;;2.0;0.4
20090701073300;430.8;2.5;2.1;0.0
20090701073400;429.6;2.6;2.0;0.3
20090701073500;431.8;2.4;2.1;0.2
20090701073600;432.2;2.4;2.0;0.2
20090701073700;430.4;2.7;2.0;-0.0
20090701073800;430.5;2.6;2.1;0.3
20090701073900;431.3;2.5;2.0;0.4
20090701074000;432.2;2.6;2.0;0.6
20090701074100;432.1;2.7;1.9;0.5
20090701074200;432.0;2.7;2.0;0.2
20090701074300;432.0;2.7;2.0;0.4
20090701074400;437.0;2.4;1.9;0.6
20090701074500;436.4;2.6;2.0;1.1
20090701074600;438.0;3.0;2.1;0.6
20090701074700;437.9;2.4;2.1;0.6
20090701074800;440.6;2.1;2.1;0.3
20090701074900;437.2;2.4;2.1;0.9
20090701075000;441.7;2.3;2.2;1.2
20090701075100;443.9;2.3;2.3;0.7
20090701075200;447.2;2.3;2.3;0.3
20090701075300;440.2;2.2;2.2;0.1
20090701075400;443.1;2.1;2.2;0.3
20090701075500;440.3;2.4;2.2;0.1
20090701075600;441.7;2.1;2.3;0.4
20090701075700;443.5;2.3;2.0;-0.8
