Date;Speed;Density;Bt;Bz
20090201000000;501.5;1.3;3.5;2.6
20090201000100;500.5;1.4;3.5;2.6
20090201000200;500.1;1.3;3.5;2.7
20090201000300;496.7;1.4;3.2;2.6
20090201000400;498.5;1.4;3.2;2.7
20090201000500;500.2;1.5;3.2;2.8
20090201000600;500.1;1.4;3.2;2.7
20090201000700;501.7;1.4;3.0;2.5
20090201000800;504.5;1.4;3.1;2.6
20090201000900;504.0;1.5;3.3;2.6
20090201001000;504.0;1.5;3.4;2.6
20090201001100;499.9;1.3;3.3;2.7
20090201001200;500.0;1.6;3.2;2.7
20090201001300;495.4;1.5;3.1;2.6
20090201001400;499.4;1.6;3.0;2.5
20090201001500;503.4;1.5;2.9;2.6
20090201001600;;;2.7;2.3
20090201001700;;;3.2;-0.3
20090201001800;467.5;2.3;3.6;-1.5
20090201001900;461.9;2.2;3.7;-1.7
20090201002000;466.9;2.2;3.8;-1.7
20090201002100;464.4;2.2;3.9;-1.8
20090201002200;464.5;2.3;3.9;-2.0
20090201002300;464.3;2.5;4.0;-2.2
20090201002400;465.6;2.5;3.9;-2.0
20090201002500;462.9;1.9;4.0;-2.1
20090201002600;462.9;1.9;4.0;-2.1
20090201002700;462.5;2.6;4.1;-2.2
20090201002800;460.4;2.2;4.2;-2.4
20090201002900;464.0;1.9;4.2;-2.4
20090201003000;461.9;2.2;4.2;-2.5
20090201003100;464.2;2.6;4.2;-2.6
20090201003200;464.5;2.2;4.2;-2.5
20090201003300;466.5;2.5;4.2;-2.4
20090201003400;466.9;2.4;4.2;-2.3
20090201003500;467.7;1.9;4.3;-2.2
20090201003600;462.2;2.0;3.7;-2.2
20090201003700;473.0;2.0;4.0;-2.7
20090201003800;472.8;1.9;4.1;-2.4
20090201003900;471.3;1.9;3.8;-2.1
20090201004000;464.2;1.9;3.8;-1.7
20090201004100;468.5;2.1;3.4;-1.0
20090201004200;468.5;2.1;3.3;-0.9
20090201004300;471.1;1.9;3.3;-0.7
20090201004400;468.5;2.2;3.0;0.4
20090201004500;460.2;2.1;2.7;1.7
20090201004600;472.0;1.7;3.3;1.5
20090201004700;469.4;1.7;3.4;1.4
20090201004800;464.2;1.7;3.4;1.3
20090201004900;468.2;1.8;3.5;1.6
20090201005000;;;3.4;1.8
20090201005100;470.0;1.9;3.4;1.7
20090201005200;468.1;1.5;3.4;1.2
20090201005300;466.9;1.9;3.5;1.2
20090201005400;464.5;1.6;3.6;1.4
20090201005500;465.2;1.8;3.7;0.7
20090201005600;463.9;2.0;3.6;0.7
20090201005700;464.5;1.8;3.7;1.2
