Date;Speed;Density;Bt;Bz
20080601000000;605.7;3.3;6.4;3.0
20080601000100;608.0;2.9;6.2;2.7
20080601000200;611.4;3.5;6.0;1.4
20080601000300;610.5;3.1;6.1;1.7
20080601000400;613.3;2.9;6.0;2.1
20080601000500;615.0;3.0;6.3;1.8
20080601000600;608.9;2.8;6.2;1.6
20080601000700;605.7;2.6;6.2;3.1
20080601000800;597.4;2.7;6.2;3.5
20080601000900;590.4;3.2;5.9;4.0
20080601001000;593.5;3.6;5.9;4.1
20080601001100;599.6;2.8;6.2;3.5
20080601001200;597.0;3.2;6.0;3.9
20080601001300;597.0;3.2;5.8;3.7
20080601001400;595.2;2.9;5.6;3.4
20080601001500;597.5;3.1;5.7;3.8
20080601001600;586.9;2.9;5.8;3.4
20080601001700;595.1;3.2;5.7;3.6
20080601001800;593.2;3.1;5.3;4.4
20080601001900;607.7;3.7;5.0;4.6
20080601002000;597.7;2.6;5.9;1.5
20080601002100;;;6.4;2.3
20080601002200;587.7;3.2;6.4;2.1
20080601002300;593.0;2.8;6.5;2.8
20080601002400;589.3;2.8;6.7;3.4
20080601002500;585.4;2.7;6.8;3.6
20080601002600;583.5;2.7;6.6;4.4
20080601002700;589.4;2.7;6.5;5.1
20080601002800;581.1;3.2;6.2;5.0
20080601002900;581.1;3.2;6.4;4.8
20080601003000;575.7;3.2;6.2;5.0
20080601003100;594.8;3.3;6.3;5.6
20080601003200;582.5;3.2;6.3;5.2
20080601003300;582.8;2.6;6.4;5.4
20080601003400;590.2;3.1;6.4;5.9
20080601003500;595.4;3.2;6.3;5.7
20080601003600;584.5;3.6;6.3;5.7
20080601003700;594.8;3.0;6.1;5.9
20080601003800;578.2;2.8;6.2;5.6
20080601003900;586.5;3.0;6.2;5.7
20080601004000;589.1;3.0;6.3;5.6
20080601004100;577.5;3.4;6.3;5.3
20080601004200;597.1;3.2;6.1;6.0
20080601004300;613.8;3.1;5.7;5.6
20080601004400;610.5;2.7;5.7;5.2
20080601004500;610.5;2.7;6.1;6.0
20080601004600;595.6;2.6;6.1;5.9
20080601004700;585.5;3.0;5.8;2.4
20080601004800;580.0;2.8;6.3;-0.5
20080601004900;568.2;2.8;6.2;1.9
20080601005000;583.9;2.8;6.4;2.6
20080601005100;586.9;2.8;6.0;-0.7
20080601005200;580.9;2.7;6.3;-0.6
20080601005300;577.1;2.6;6.5;1.3
20080601005400;;;6.6;1.6
20080601005500;572.8;2.7;6.8;1.7
20080601005600;572.5;2.5;6.8;1.0
20080601005700;571.2;3.0;6.6;0.8
20080601005800;599.3;2.7;6.5;-0.8
20080601005900;592.7;2.8;6.4;-1.1
20080601010000;580.3;2.3;6.6;0.2
20080601010100;580.3;2.3;6.7;0.6
20080601010200;577.9;2.5;6.7;0.4
20080601010300;579.2;2.5;6.4;0.2
20080601010400;574.4;2.8;6.2;-0.3
20080601010500;573.3;2.4;6.1;1.5
20080601010600;571.3;2.4;6.4;1.6
20080601010700;569.3;2.5;6.4;1.5
20080601010800;570.3;2.3;6.2;0.8
20080601010900;560.2;2.7;6.4;0.6
20080601011000;561.5;2.6;6.3;0.5
20080601011100;562.5;2.4;5.9;1.3
20080601011200;561.1;3.1;5.9;-0.4
20080601011300;559.6;3.1;6.0;0.0
20080601011400;559.2;2.7;6.1;-0.1
20080601011500;555.5;3.0;6.0;0.2
20080601011600;569.6;2.4;6.1;0.7
20080601011700;569.6;2.4;6.0;0.6
20080601011800;567.9;2.6;5.8;1.2
20080601011900;561.4;2.8;5.9;0.8
