Date;Speed;Density;Bt;Bz
20110401000000;332.5;1.8;11.4;4.8
20110401000100;331.7;2.1;11.3;4.9
20110401000200;334.9;2.0;11.4;4.1
20110401000300;330.9;1.4;11.5;3.8
20110401000400;331.8;1.5;11.5;3.5
20110401000500;331.8;1.5;11.5;3.2
20110401000600;326.6;1.4;11.5;3.5
20110401000700;327.0;1.4;11.5;3.7
20110401000800;329.9;1.5;11.2;3.5
20110401000900;332.7;1.4;11.1;3.5
20110401001000;335.2;1.8;11.2;3.1
20110401001100;329.9;1.2;11.1;3.3
20110401001200;336.4;2.1;11.1;2.2
20110401001300;333.8;1.0;11.1;5.7
20110401001400;343.2;2.0;11.2;4.7
20110401001500;344.7;2.1;11.2;4.6
20110401001600;336.6;1.4;11.3;2.0
20110401001700;337.2;2.3;11.4;3.6
20110401001800;336.0;2.3;11.3;2.6
20110401001900;338.1;1.6;11.4;3.0
20110401002000;337.7;2.5;11.3;2.6
20110401002100;337.7;2.5;11.2;4.8
20110401002200;344.9;2.2;11.1;5.4
20110401002300;349.4;2.1;11.1;3.1
20110401002400;340.7;1.5;11.0;3.1
20110401002500;335.3;2.1;11.0;3.3
20110401002600;339.4;2.2;11.0;3.5
20110401002700;353.1;2.6;11.1;3.2
20110401002800;347.9;2.6;11.2;2.6
20110401002900;345.5;2.5;11.3;2.9
20110401003000;341.2;1.7;11.4;2.5
20110401003100;;;11.5;2.6
20110401003200;335.3;1.2;11.4;1.3
20110401003300;343.6;2.0;11.4;2.1
20110401003400;334.9;1.1;11.3;1.7
20110401003500;340.6;2.0;11.3;4.7
20110401003600;347.8;2.7;11.2;5.6
20110401003700;347.8;2.7;11.1;5.1
20110401003800;348.9;2.7;11.0;4.1
20110401003900;339.8;1.7;11.1;4.3
20110401004000;339.0;1.8;11.0;4.0
20110401004100;341.8;1.7;11.1;4.6
20110401004200;346.4;1.9;11.3;4.1
20110401004300;341.5;1.6;11.2;4.9
20110401004400;342.6;2.4;11.3;4.6
20110401004500;342.7;1.7;11.4;3.7
20110401004600;343.6;2.2;11.4;4.0
20110401004700;349.8;2.3;11.3;5.7
20110401004800;347.3;1.9;11.3;5.1
20110401004900;350.7;2.3;11.2;5.7
20110401005000;349.6;2.5;11.2;6.3
20110401005100;352.6;1.7;11.1;5.6
20110401005200;349.2;2.4;11.0;4.7
20110401005300;349.2;2.4;11.0;5.2
20110401005400;346.9;1.7;10.9;5.1
20110401005500;347.8;1.8;10.7;7.3
20110401005600;360.0;2.2;11.0;6.0
20110401005700;342.5;2.3;11.0;6.8
20110401005800;361.2;1.9;11.2;5.3
20110401005900;352.4;2.0;11.3;4.6
20110401010000;348.2;2.9;11.2;6.0
20110401010100;368.0;2.0;11.3;6.7
20110401010200;358.8;1.8;11.2;6.7
20110401010300;358.9;1.9;11.1;6.7
20110401010400;;;11.1;6.1
20110401010500;343.5;2.0;11.1;6.2
20110401010600;335.5;2.8;11.0;5.4
20110401010700;314.8;0.7;11.0;2.3
