Date;Speed;Density;Bt;Bz
20111201000000;;;6.2;-4.6
20111201000100;451.9;3.2;6.0;-4.5
20111201000200;451.6;3.2;6.0;-4.4
20111201000300;452.5;3.1;6.1;-4.4
20111201000400;451.0;3.2;6.1;-4.3
20111201000500;451.8;3.1;6.1;-4.3
20111201000600;450.4;3.4;6.2;-4.3
20111201000700;450.3;3.3;6.1;-4.1
20111201000800;449.1;3.6;6.0;-4.4
20111201000900;451.0;3.7;6.1;-4.3
20111201001000;449.1;3.2;5.4;-2.2
20111201001100;457.3;2.0;6.0;-0.8
20111201001200;459.9;1.6;5.7;-2.1
20111201001300;457.6;1.3;6.0;-2.5
20111201001400;;;6.0;-2.4
20111201001500;;;5.7;-1.7
20111201001600;;;5.9;-2.5
20111201001700;;;5.9;-2.7
20111201001800;453.7;1.6;5.7;-2.6
20111201001900;454.1;1.7;5.7;-3.0
20111201002000;456.0;1.8;5.4;-3.0
20111201002100;452.5;1.9;5.7;-3.0
20111201002200;450.3;1.7;5.6;-2.7
20111201002300;451.0;1.9;5.6;-2.6
20111201002400;452.6;2.0;5.5;-2.6
20111201002500;447.7;2.2;5.5;-2.7
20111201002600;445.2;2.1;5.5;-2.6
20111201002700;444.8;2.0;5.4;-2.7
20111201002800;447.2;2.0;5.4;-2.9
20111201002900;454.0;1.6;5.5;-2.8
20111201003000;453.5;1.6;5.3;-2.0
20111201003100;443.8;2.5;5.5;-2.4
20111201003200;;;5.8;-3.0
20111201003300;463.8;1.0;5.9;-3.3
20111201003400;462.7;0.9;5.7;-3.6
20111201003500;457.7;0.8;5.6;-3.4
20111201003600;458.2;1.0;5.7;-3.3
20111201003700;464.4;0.7;5.7;-3.5
20111201003800;469.0;0.5;5.7;-3.6
20111201003900;466.5;0.4;5.5;-3.4
20111201004000;472.5;0.4;5.0;-3.1
20111201004100;482.8;0.2;4.8;-2.7
20111201004200;480.2;0.2;4.7;-2.8
20111201004300;476.1;0.8;5.8;-3.5
20111201004400;469.4;1.0;5.7;-3.8
20111201004500;476.9;0.7;5.7;-3.8
20111201004600;470.6;0.7;5.7;-3.6
20111201004700;;;5.9;-3.4
20111201004800;;;5.9;-3.1
20111201004900;;;5.9;-2.9
20111201005000;;;6.0;-2.9
