Date;Speed;Density;Bt;Bz
20110201000000;297.5;0.5;9.4;-0.7
20110201000100;286.2;0.7;9.3;-1.2
20110201000200;327.8;3.7;9.2;-1.6
20110201000300;327.8;3.7;9.9;-2.9
20110201000400;282.1;0.1;10.1;-3.1
20110201000500;337.5;2.3;9.6;-0.8
20110201000600;324.9;2.0;9.6;-1.6
20110201000700;316.6;1.7;9.6;-0.6
20110201000800;308.6;2.8;9.8;-1.0
20110201000900;289.3;1.3;9.6;-3.5
20110201001000;310.6;1.9;9.6;-4.0
20110201001100;312.3;1.6;9.7;-5.8
20110201001200;319.5;2.2;9.4;-4.5
20110201001300;305.1;1.6;9.4;-0.5
20110201001400;291.9;1.7;9.4;-1.7
20110201001500;;;10.3;-3.5
20110201001600;296.5;1.3;10.4;-2.0
20110201001700;314.4;2.1;10.2;-1.4
20110201001800;309.3;1.7;10.2;-2.2
20110201001900;309.3;1.7;10.2;-1.8
20110201002000;306.5;2.0;10.3;-2.1
20110201002100;305.5;2.4;10.3;-2.2
20110201002200;313.5;1.0;10.3;-1.2
20110201002300;319.9;2.0;10.4;-1.2
20110201002400;318.3;1.8;10.3;-1.3
20110201002500;312.0;2.3;10.1;-1.8
20110201002600;;;10.0;-1.7
20110201002700;342.2;0.6;9.9;-1.8
20110201002800;347.5;0.6;9.9;-1.2
20110201002900;347.2;0.9;9.6;-1.1
20110201003000;324.1;1.6;8.4;-0.6
20110201003100;312.0;2.5;9.0;-1.3
20110201003200;309.0;2.5;9.1;-1.1
20110201003300;305.6;2.4;9.1;-1.6
20110201003400;312.0;1.7;9.1;-1.8
20110201003500;312.0;1.7;9.0;-2.2
20110201003600;304.4;1.6;9.2;-2.0
20110201003700;308.2;1.4;9.0;-2.5
20110201003800;308.3;1.1;9.0;-2.7
20110201003900;300.0;1.3;8.8;-2.4
20110201004000;295.2;1.7;8.8;-2.4
20110201004100;296.2;2.2;8.7;-2.4
20110201004200;;;8.1;-3.3
20110201004300;298.3;1.7;6.3;-3.3
20110201004400;268.6;0.5;6.0;-4.0
20110201004500;262.0;0.4;6.2;-2.8
20110201004600;;;6.2;-3.5
20110201004700;321.8;1.4;6.3;-5.1
20110201004800;320.6;1.4;6.3;-5.0
20110201004900;267.5;0.4;6.4;-4.0
20110201005000;261.2;0.5;6.5;-3.7
20110201005100;261.2;0.5;6.6;-3.9
20110201005200;317.1;1.4;6.7;-4.9
20110201005300;268.4;0.3;6.6;-3.6
20110201005400;256.9;0.4;6.7;-3.6
20110201005500;256.0;0.6;6.7;-3.1
20110201005600;248.9;0.4;6.7;-3.0
20110201005700;295.3;1.0;6.6;-3.0
20110201005800;305.7;1.5;6.6;-3.2
20110201005900;;;7.1;-2.9
20110201010000;339.6;0.7;7.3;-2.8
20110201010100;332.4;0.9;7.3;-3.2
20110201010200;330.5;0.9;7.2;-3.2
20110201010300;263.7;0.7;7.0;-3.4
20110201010400;252.5;0.5;7.1;-3.2
20110201010500;246.0;0.5;6.8;-2.9
20110201010600;252.1;0.4;6.2;-3.5
20110201010700;252.1;0.4;6.3;-4.1
20110201010800;331.5;1.8;6.3;-3.0
20110201010900;;;6.2;-3.5
20110201011000;249.7;0.2;6.4;-2.7
20110201011100;;;6.4;-2.5
20110201011200;247.5;0.1;6.4;-2.3
20110201011300;253.3;0.1;6.4;-2.2
20110201011400;;;6.4;-1.7
20110201011500;256.3;0.2;6.4;-1.7
20110201011600;340.8;4.5;6.4;-2.3
20110201011700;347.8;3.4;6.4;-2.8
20110201011800;341.2;4.4;6.6;-2.9
20110201011900;;;6.8;-3.6
20110201012000;337.4;3.7;6.4;-2.7
20110201012100;338.6;3.0;6.7;-3.1
20110201012200;333.5;3.4;6.6;-3.0
20110201012300;333.5;3.4;6.6;-3.3
20110201012400;264.0;0.3;6.6;-2.8
20110201012500;333.8;3.8;6.6;-2.2
20110201012600;;;6.6;-1.8
20110201012700;334.0;4.7;6.6;-1.2
20110201012800;;;6.6;-1.1
20110201012900;328.7;3.5;7.0;-2.5
20110201013000;251.9;0.2;7.0;-2.7
20110201013100;335.1;3.6;7.0;-2.8
20110201013200;;;7.0;-2.7
20110201013300;346.7;2.7;7.1;-3.0
20110201013400;347.7;2.4;6.9;-2.9
20110201013500;347.8;2.5;6.7;-3.9
20110201013600;347.3;2.7;6.7;-1.7
20110201013700;348.0;2.7;6.8;-1.6
20110201013800;347.9;2.4;6.7;-2.0
20110201013900;347.9;2.4;5.1;-3.4
20110201014000;346.8;2.7;5.2;-3.4
20110201014100;349.9;2.5;4.3;-4.2
20110201014200;357.7;2.4;5.7;-3.9
20110201014300;350.2;2.5;6.2;-0.6
20110201014400;365.0;4.2;6.3;-0.3
20110201014500;367.9;5.4;6.1;0.3
20110201014600;371.8;5.4;6.3;1.7
20110201014700;373.1;6.2;6.7;1.7
20110201014800;370.8;6.5;6.7;0.5
20110201014900;373.4;4.9;6.6;-1.5
20110201015000;368.7;4.1;6.8;-3.1
20110201015100;368.8;3.5;6.7;-3.8
20110201015200;360.9;3.2;6.3;-4.6
20110201015300;342.9;2.4;6.2;-5.0
20110201015400;354.0;2.3;6.5;-5.1
20110201015500;354.0;2.3;6.6;-5.6
20110201015600;354.4;2.4;6.7;-5.7
20110201015700;358.8;2.8;6.9;-6.0
20110201015800;349.1;2.4;6.6;-4.0
20110201015900;376.7;3.6;6.2;-2.1
20110201020000;367.5;3.8;7.5;1.1
20110201020100;356.5;5.8;8.0;-0.7
20110201020200;351.5;6.9;8.5;-0.2
20110201020300;354.2;5.3;8.1;0.7
20110201020400;348.3;6.5;8.0;-3.5
20110201020500;;;7.4;-0.8
20110201020600;345.9;5.8;7.9;-0.9
20110201020700;346.0;6.7;7.2;0.7
20110201020800;340.9;4.2;7.0;-3.3
20110201020900;365.5;1.9;7.6;-6.0
20110201021000;368.0;5.6;6.7;-3.4
20110201021100;368.0;5.6;7.4;-2.8
20110201021200;372.4;6.0;7.4;-3.4
20110201021300;368.8;5.4;7.1;-3.6
20110201021400;371.4;4.6;6.8;-4.0
20110201021500;376.9;3.5;6.5;-3.6
20110201021600;364.0;4.6;6.4;-3.0
20110201021700;368.1;4.8;6.4;-2.4
20110201021800;369.7;6.2;6.7;-0.9
20110201021900;371.2;6.7;6.8;-0.3
20110201022000;373.5;7.1;7.0;1.0
20110201022100;374.0;7.4;7.7;0.2
20110201022200;375.5;7.3;7.9;-0.1
20110201022300;375.7;7.0;7.7;-0.6
20110201022400;371.8;6.9;7.6;-0.8
20110201022500;375.0;5.8;7.6;-1.4
20110201022600;371.6;5.3;7.4;-1.7
20110201022700;371.6;5.3;6.5;-1.5
20110201022800;370.4;5.7;6.9;-0.6
20110201022900;371.2;6.1;7.1;0.9
20110201023000;372.4;7.5;7.0;0.2
20110201023100;370.0;7.5;7.6;-0.6
20110201023200;370.2;7.3;7.2;-2.4
20110201023300;371.4;5.3;7.4;-2.9
20110201023400;371.7;5.9;7.4;-1.4
20110201023500;373.9;7.7;7.4;0.8
20110201023600;381.6;6.9;7.5;0.6
20110201023700;378.0;7.3;7.4;2.6
20110201023800;;;8.2;3.1
20110201023900;381.1;8.7;8.7;3.4
20110201024000;380.8;8.2;8.6;3.4
20110201024100;374.0;9.4;8.7;2.1
20110201024200;370.4;9.3;9.8;5.4
20110201024300;370.4;9.3;9.6;5.1
20110201024400;373.0;8.5;9.5;6.2
20110201024500;372.6;10.1;10.1;6.7
20110201024600;372.5;10.7;10.1;7.0
20110201024700;372.2;9.8;10.1;7.5
20110201024800;376.4;11.4;10.1;7.5
20110201024900;373.9;10.8;10.1;7.8
20110201025000;375.0;9.5;9.8;7.4
20110201025100;374.4;11.5;9.7;7.3
20110201025200;375.4;11.5;9.8;7.3
20110201025300;374.4;12.1;9.7;7.5
20110201025400;374.2;11.7;9.8;7.7
20110201025500;373.4;10.5;9.7;7.7
20110201025600;376.8;13.1;9.5;6.8
20110201025700;372.7;12.0;9.6;5.4
20110201025800;382.7;15.1;8.1;3.9
20110201025900;382.7;15.1;7.5;3.6
20110201030000;383.1;17.5;8.4;4.0
20110201030100;383.5;16.7;8.3;4.3
20110201030200;382.6;16.1;6.8;4.2
20110201030300;376.3;22.6;5.5;3.9
20110201030400;373.9;21.9;4.8;3.2
20110201030500;376.8;20.9;4.8;3.3
20110201030600;372.2;24.1;4.9;3.4
20110201030700;368.7;23.1;4.7;3.6
20110201030800;371.4;22.0;4.0;3.2
20110201030900;371.2;27.2;4.0;3.2
20110201031000;367.0;27.0;4.9;2.2
20110201031100;;;4.6;2.2
20110201031200;367.2;26.3;4.7;2.3
20110201031300;367.2;27.5;4.5;2.1
20110201031400;365.0;28.1;4.5;2.1
20110201031500;365.0;28.1;3.8;1.6
20110201031600;369.4;29.8;3.6;2.8
20110201031700;365.2;26.1;4.0;2.1
20110201031800;366.7;25.5;3.8;2.2
20110201031900;367.0;25.0;3.8;2.3
20110201032000;366.6;24.0;4.0;2.5
20110201032100;363.4;25.5;3.5;2.1
20110201032200;366.1;24.5;4.6;1.5
20110201032300;363.4;23.7;6.1;1.7
20110201032400;363.6;20.0;7.2;1.7
20110201032500;363.0;19.2;8.3;1.2
